音讀 詞目
 發牙
 番仔番薯
 痚呴注
 痚呴病
 番剌仔
 登革熱
 畫痕
 畫逝
 畫圖
 發齒
 琴鐘仔
 短工
 硩印仔
 硬尾仔
 硩注
 短站
 短途
 硩墓紙
 短褲節仔
 絕子絕孫
 絨仔
 絲仔
 絲仔布
 絞米
 結定
 結拜的
 結婚
 結頭菜
 絞螺仔水
 絲襪仔
 菌
 菜
 萍
 菊仔花
 菜市
 菜垞
 菜鳥
 菜飯
 菜跤
 菌種
 菠薐
 菠薐仔菜
 蛤
 裁布
 裂扦
 著猴損
 裁縫車
 貿工事
 貿工程
 貿工課
 賀正
 詞典
 買命錢
 貴重物
 貿穡頭
 鄉
 鄉社
 進頭香
 鄉鎮市
 鄉鎮長
 開工
 開支
 開仔
 閒仔錢
 開使
 量其約仔
 開查某的
 量約仔
 間接
 陽傘
 冗剩錢
 陽間
 閒話
 順事
 順服
 黃金斗甕
 黃金甕仔
 飯前
 飯後
 飯桌仔
 飯桸
 階層
 亂七八糟
 亂使來
 傷風
 催陣
 剾喙鬚
 亂亂
 傳聞
 傷礙
 塗牛翻身
 塗米沙
 塗沙粉
 圓房
 塗蚓
 塌縫
 塗礱間
 嫂仔
 媽姨
 媽祖婆
 媳婦
 惹厄
 愛吼
 感服
 惹是非
 愛展
 想袂到
 愛惜
 微微仔笑
 揫墓
 惹禍
 愛諍
 愛護
 摃丸
 摃手
 摃手蹄
 搖尻川花
 新正年頭
 新式
 摃電話
 搖鼓
 搧緣投
 搬舖
 損斷
 搖櫓
 椰子樹
 業主
 暗車
 會和盤
 暗計
 會記得
 暗唸
 會得過
 會通
 會跤
 會齊
 暗墨墨
 楓樹
 暗穡
 暗鷺
 歁大呆
 極加
 歁呆
 溫和
 溪墘
 溫龜
 煞氣
 煞喙焦
 爺舍囝
 照品照引
 照起工來
 當中
 痲仔
 矮古
 當做講
 碌硞馬仔
 碎溶溶
 碎鹽鹽
 節仔
 義囝
 腦欠血
 腦充血
 落台
 落市
 落目
 落任
 落耳
 萬姓公
 落空車
 落後
 落貨
 聖魚
 萬善公
 落棺
 萬歲爺
 腹腸
 腫跤胴
 蒂頭
 號頭
 葛薯
 葫蘆匏仔
 葫蘆瓢
 蜇
 蜈蚣車仔
 補救
 試覓
 裝貨
 解憂愁
 補償
 誠心
 跤枋
 資源
 趒跤頓地
 誠實講
 誇獎
 跤踏
 跤踏枋
 詼諧
 誠濟
 跤臁
 跤鐐
 過份
 運匠
 過年飯
 較有面
 路尾
 過定
 遊客
 違約
 較晏
 過眠
 過袂得去
 過溝菜
 路裡
 過路線
 過暝
 較緊
 路線
 農曆
 道謝
 過關
 遊覽
 鈴喨仔
 鈴鐺仔
 隔工
 電火觳仔
 飼囝
 飽朱
 頓泔
 電球
 電球仔
 隔間肉
 電頭毛店
 鼓椅仔
 鼓電話
 鼓舞
 嘛好
 嘔紅吐血
 嘈嘈唸
 壽麵
 實用
 實在話
 對角
 對相
 對訊
 對問
 幔被仔
 寢開始
 實鼻聲
 實質
 對質
 對頭風
 對聯
 摖仔
 捾定
 慢性病
 摔後炮
 暝時仔
 摸脈
 槐豆
 歌星
 滾耍笑
 滾蛟龍
 歌詩
 漱口
 漚肥
 漢草好
 漚翕熱
 演說
 漲價
 漉糊仔糜
 熇熱
 瘋顛
 窩
 管仔
 綠豆
 管事
 算命仙
 管區个
 端莊
 算會和
 腿庫肉
 緊縒慢
 綵轎
 蓆仔
 膏豆油
 蜜甜
 蜜蜂
 趕暝工
 鉸布
 遛扦
 遠近
 銀單
 辣椒
 遛精仔
 踅遠路
 雌
 閣再來
 銅鏡鰺
 領巾
 齊心
 儉用
 劍竹仔
 劍竹仔筍
 儉省
 墨硯
 廟口
 影印本
 寬恕
 廟祝
 影跡
 廣播
 撚十八仔
 撓沙筋
 撈話頭
 數戶
 佈田管仔
 數珠
 槽頭肉
 樟腦丸
 熟番
 潤餅
 熟藥
 熱天衫
 熱火
 熱衫
 盤捙
 稻仔
 穀倉
 編制外的
 範聲
 蝦姑頭
 蔭屍
 蝦蛄仔
 蔭豉
 蔭豉仔肉
 參藥引
 蔗廍
 賣方
 諸位
 豬肝𦟪
 豬肝連
 請客
 諒情
 輪箍
 閬空
 銷假
 養分
 鞋抿
 靠碼頭
 魬仔
 魬仔魚
 魴仔魚
 齒豆
 齒抿
 黎明
 鬧新娘房
 鬧鐘仔
 學校長
 憑靠
 樹奶束仔
 樹奶拭仔
 機油
 樹葉
 樹錦
 樹欉
 激屎龜
 橫痃
 激笑面
 激骨話
 激悾激戇
 澹溼
 瓢
 獨力
 燒水袋
 燒水罐
 獨占
 燒肉粽
 獨身仔
 燈油
 燈虎
 獨奏
 燒烘烘
 燒紙錢
 燒酒仙
 獨唱
 燙著
 燒銀紙
 燒龜
 燈謎
 燒罐
 磨仔
 瞠目
 磨坩仔
 積怨
 瞞崁
 積極
 糕餅
 糖膽
 膨尾鼠
 興敗
 褪孝
 螟蛉
 褲橐袋仔
 諞仙
 親生母
 親生囝
 親生的
 親的
 親娘
 親家媽
 貓頭鷹
 扮公家伙仔
 選日
 扮家伙仔
 遵循
 亞鉛桶
 鋸鑢
 錢空
 錢架仔
 錢貫
 錢筒
 錢橐仔
 霎霎仔雨
 錢囊仔
 頭一回
 頷仔頸
 頭生
 頭批
 頭改
 頭前門
 頷垂仔
 頭風
 骿條肉
 頭殼疼
 頭等
 頭摠
 頭擴
 餐廳
 麭
 龍骨車
 優雅
 嬰
 戲法
 應當
 嬰纏
 壓霸的人
 溼一下
 牆圍仔
 磺
 糝胡椒
 篾扇
 糞埽市仔
 摠頭
 總講一句
 臨水夫人
 臨時的
 聯彩
 薄薰
 薪火
 虧本
 薟薑
 講耍笑
 賺著
 蹌跤引
 蹌跤枷
 講嘐潲
 講親事
 講戇話
 還債
 還魂
 避難
 霜仔角
 霜仔枝
 闊喙仔
 隱遁
 鮮臊
 點心擔仔
 點火
 鼢地鼠
 點菜
 黏黐
 擲挕捒
 擲捒
 燻肉
 歸氣
 瀉腹
 穢
 礐仔蟲
 禮金
 禮拜一
 穡路
 翻流
 薰喙
 薰節仔
 翻箍
 舊標頭
 藏沬
 蟧蜈車仔
 轉成
 轉色
 轉車
 轉後頭厝
 蹛院
 轉數
 雞爪
 雞爪仔
 醬瓜
 雙生仔囝
 雜色牌
 雞油
 雜差仔
 雜貨仔
 槌摃鐵
 離經
 醫館
 醫療
 額數
 額聲
 鮸仔
 鯽仔
 鯽魚
 嚨喉鐘仔
 懶屍骨
 歹消息
 攏無
 穩的
 羅漢跤
 穩輸
 穩贏
 藥丸仔
 藥店
 藥粉仔
 襟胸
 鏡仁
 關公
 顛倒是
 騙痟的
 鯰仔
 麒麟鹿
 嚶嚶睏
 懸低爿
 櫳仔飯
 瀾垂仔
 獻紙
 懸頂
 懸階
 蠓仔窗
 蠓仔薰
 警察仔
 譬論
 釋放
 釋迦牟尼佛
 鹹李仔
 鹹掛澀
 鹹閣澀
 鹹澀
 屬下
 爛田
 纏腳布
 鐵耙
 鐵馬仔
 鐵掃帚
 鐵喙
 護廊
 譴損
 鐵路
 鰮
 顧更
 飆車
 囉哩囉嗦
 權勢
 權算
 彎彎曲曲
 癮兄哥
 癮先生
 癮酒
 鰱仔
 鰻魚
 變天
 體念
 變空變榫
 變相
 變動
 變種
 蠶仔絲
 蠶仔葉
 鱟杓
 觀音佛祖
 觀音媽
 鑽水沬
 戇仔
 鑿空
 蹽水
 蹽溪
 暗挲挲
 大母四公界
 鎖管
 正月正頭
 空心
 赤尾鮐
 透底
 照品照行
 摔椅摔桌
 鞋仔
 排仔骨
 電火線
 孤跤手
 懶屍骨
 倒轉來
 喙瀾水
 胛心
 配種
 魚鰡
 痟狗病
 月大
 月小
 蛤仔泅
 香芳
 一戶
 大段
 大食
 山空仔
 深山林內
 蒜絨枝
 索仔股
 索仔條
 半上路下
 半中途
 本居
 本籍
 伨重
 考試紙
 含血噴天
 十扳仔
 死扳仔
 活扳仔
 沙耙仔
 夾鼎
 夾鍋
 逐項代誌
 擦仔
 石拭仔
 消防車
 消防組車
 明呼明唱
 雨捽仔
 雨抿仔
 巷仔頭
 後回
 禮拜六
 呼請
 擲掉
 輕本
 一個外月
 一月外日
 蝦蛄頭
 捎無頭摠
 捎無摠頭
 香奠
 會赴
 會赴市
 落帆
 高長四壯
 穿榫
 彈繩
 接尪
 送尪
 穩仔冬
 穩冬
 十月冬
 下冬
 頂冬
 冰的
 燒的
 敆釉
 清井
 繁華都市
 深緣
 終歸尾
 戰甲蟲
 獨角龜仔
 獨角金龜
 驚一趒
 透濫
 棧房
 無捨無施
 會和
 發財仔
 起輦
 過年錢
 窗簾仔
 窗仔門簾
 筊窟
 博筊場
 賣菜的
 罐頭開仔
 無閒人
 挽筋
 塗粉仔
 塗沙粉仔
 塗肉
 爛溝仔糜
 塗糊糜
 新年頭
 年尾兜
 舊年尾
 坐不是
 會毋著
 會不是
 坐毋著
 煞尾的
 實頭實腦
 親家門風
 門風相對
 做正經
 車輪粿
 紅豆餅
 糕仔印
 蔭瓜
 褒囉唆
 米血
 湳仔
 湳地
 貓貓看
 頭倒客
 唏嚇叫
 跙冰
 懶相
 白布條
 鰇魚絲
 鹹梅仔
 梅仔干
 建古
 徼兆
 漚熱
 漚熱
 漚翕
 齷齪熱
 麵線雨
 菜母
 鹹淘
 臭肉鰮
 干仔
 一絲仔
 準準準
 人份
 高長大漢
 上頭
 極加
 下晝飯
 目孔
 大注
 大錢
 大張
 大注錢
 同門的
 大細仙
 跤仙
 白扇仔
 山尾仔
 白跤擛仔
 山馬仔
 中範
 中範仔
 中範仔
 反供
 翻口供
 反相
 正種
 直理直路
 頭擴
 少年的
 濟歲
 手蹄賤
 歹手癖
 手後彎
 手後蹬
 好日
 歹彩頭
 歹頭彩
 好吉兆
 好頭彩
 黃酸囡仔
 水平尺
 水窟
 水濺
 機關車
 車母
 牛角𨂿
 牛聲馬吼
 牛聲馬叫
 冬瓜酥
 頂下沿
 書局
 苴枋
 東粉
 軟母仔
 破病丁
 病猴
 往回
 司公象桮結相黏
 童乩桌頭
 褲帶結相黏
 外庄頭
 本埠
 央叫
 布尾
 拖布
 布拖仔
 尾帖藥
 拍拚藥
 目赤
 目紅
 囡仔王
 囡仔頭
 在室男
 有膽
 有膽量
 現挽的
 在欉黃的
 在欉紅的
 隱的
 歹事
 歹份
 歹看頭
 羅漢跤
 死翹翹
 百百種
 店頭厝
 繭仔
 網紗卷
 計程仔
 叫客的
 營業車
 行船客
 佗落仔
 盍會
 梳妝打扮
 孝尾仔
 孝尾仔囝
 李仔糖
 鳥梨仔攕
 鳥梨仔糖
 久久仔
 閃無路
 偷走學
 身苦病疼
 車箱仔
 五根草
 卸世上
 噗噗跳
 咇噗惝
 噗噗惝
 孤孀
 孤雞仔
 彼當陣仔
 現主時
 倒勼
 抾肥肉
 抾便的
 講較白咧
 拍鳥帽仔
 開銃
 果子栽仔
 載貨車
 拍速車
 文車
 幼米粉
 竹筒粿
 癡思夢想
 烏白想
 空厝
 花蛤
 金閃閃
 金爍爍
 門埕
 前埕
 頭前埕
 後埕
 後壁埕
 後尾埕
 丁蘭尺
 便印仔
 入門踏戶
 品捧
 品寶
 面漚面臭
 歹面腔
 外行的
 外行人
 硩紙
 挂墓紙
 做針黹
 失頓枵飢
 枵了過飢
 流汗糝滴
 汗流汁滴
 相揣坐
 發財樹
 苦倚
 石頭倚
 齊頭倚
 慘齣
 笑詼齣
 限時的
 普通批
 人面冊
 香瓜仔
 正拗
 退流
 師傅工
 花點龜仔
 病底
 眩車藥仔
 祖公仔屎
 爆笑劇
 bí-lí-kue
 thoo-khé-soh
 笑bui-bui
 笑bun-bun
 草子
 庄跤倯
 內山倯
 臺北倯
 市內倯
 草堆
 勇身命
 袂曉通衰
 袂曉見笑
 袂見袂笑
 毋知見笑
 起跤lōng
 起豹風
 起酒狂
 滾蛟躘
 大海漲
 水退
 飽流
 酒女
 酒家女
 馬蹄糋
 飛烏虎
 做sa-khú-lah
 鉸刀蟲
 鉸刀龜仔
 剪絨
 剪絨花
 剪蟲仔
 冊龜仔
 寄居
 寄蹛
 寄徛
 小定
 小聘
 日欲晝
 鼓井水雞
 井底鮕鮘
 涼腔仔話
 白米飯
 跤手慢鈍
 跤手扭掠
 閣來
 規家口仔
 一箍人
 準若
 準講
 石女
 鈍市
 頂下歲仔
 殕的
 雙仁潤
 入戶口
 入家甲
 斑芝樹
 殘殘脆脆
 無塊通
 大埕
 灰埕
 宅仔
 窮貨底
 賣主
 閒煩惱
 耐命
 黃目樹
 媽祖娘
 頓胸坎
 拍鼓
 暗記
 會不是
 會當過
 袂當過
 會仔跤
 上班日
 上班時間
 準煞
 矮仔猴
 矮仔
 矮仔鼓
 矮鼓丁
 躼跤的
 懸大
 萬底深坑
 無底深坑
 萬不二
 蒂頭仔
 死痠
 鹹水貨
 雨閘
 雨棚
 翻轉工
 翻轉日
 電批
 電腦批
 頭毛店
 頓蹄
 飽米
 墓錢
 古仔紙
 寢頭仔
 拄開始
 致重
 對面風
 相耽誤
 睏大豬
 歌仔簿
 君子步
 歹戲拖棚
 綿綿精精
 緊跤緊手
 大𡳞脬
 報春花
 無張無持
 冇談
 究真
 羊頭眩
 閬雨站
 溜閃
 浸水
 激水
 樹奶索仔
 樹奶箍仔
 孽仔話
 燃茶
 大紅花
 燈籃仔花
 燒燙燙
 發毛
 賴賴行
 鋸屑
 沬水
 藏水
 藏頭沬
 鑽沬
 練先
 歌仔仙
 毛毛仔雨
 下跤手
 媒人錢較貴聘金禮
 加冠禮較濟戲金銀
 面頂百
 頭面頂百
 頷珠
 鴨公聲
 䆀豆
 粉豆
 歹氣
 鮢鱖魚
 舊症
 久年病
 薰篋仔
 蟳仁
 蟳仔卵
 雙糕粿
 雙糕（仔）
 鹹酸苦澀
 變啥物魍
 變啥空
 變啥空頭
 變啥齣頭
 變無路
 變無空
 變魍
 豔麗
 桑椹
 鹽酸仔草
 山鹽酸
 足心願
 稱意
 分開食
 分家伙
 拆伙灶
 拆伙鼎
 過冬鳥
 趁大錢
 做肉砧
 有局
 心肝內
 目箭
 㾀命
 官府
 拄拄仔
 拄遷
 頭先仔
 相伴
 鬥伴
 唸歌仔
 存意
 立意
 主心定
 無夠額
 未到
 鴨卵面
 狗聲乞食調
 a33 lu55 mih3
 a33 moo55 ni55 a51
 a33 ni55 khih3
 a33 sir55 phi55 lin51
 a55 geh3
 ai35 sat5 tsuh3
 ai55 sirh3 khu33 lin51 mu11
 an51 nai33
 at3 sa55 lih3
 au51 tsuh3
 ba55 luh3
 ba55 suh3
 ba55 tah3
 bai33 oo55 lin51
 bai35 khin51
 bak5 kuh3
 ban51 ba11
 bang51 ga11
 bat3 te55 lih3
 bat5 tah3
 bi33 ta55 bin51
 bi51 lu11
 biat5 tooh3
 bok3 sin51 gu11
 boo51 lu11
 boo51 too11
 bu33 la51 jia11
 e33 pu55 long51
 ga33 soo55 lin51
 ga55 lah3
 ga55 suh3
 gi51 ta11
 giang33
 goo11 boo33
 goo33 lu55 huh3
 ha33 moo55 ni55 khah3
 ha55 muh3
 hai35 khe55 kha55 kuh3
 hai51 ia11
 hai55 kat5 la51
 han35 too55 luh3
 hang35 goo51
 hi33 noo55 khih3
 hoo33 lu55 bong51
 hoo33 te55 luh3
 hu55 looh3
 ia55 mih3
 ian35 jin51
 io35 kang51
 io55 bih3
 iu55 lih3
 ji33 lu55 bah3
 jiak5 kuh3
 jian51 ba11
 jio55 toh3
 kha33 bang51
 kha33 la55 oo55 khe55
 kha33 me55 lah3
 kha33 ta55 lok5 guh3
 kha33 tian51
 kha51 sang11
 kha51 tsiang11
 khan35 jioo51
 khang35 pang51
 khe33 tsiap5 puh3
 khi33 moo55 tsih3
 khi55 looh3
 khia11 hang55
 khit5 teh3
 khiu35 khe51
 khok5 puh3
 khong11 ku33 li51
 khong51 buh3
 khoo33 le55 lah3
 khoo33 mi55 siong51
 khoo51 too11
 khu33 la55 tsih3
 khu33 li51 mu11
 la33 ji55 ooh3
 la33 kiat5 tooh3
 la33 mu55 neh3
 lai35 jioo51 bu11
 lai35 lin51 gu11
 lai51 tah3
 le33 bong51
 le51 sir11
 li33 a55 khah3
 lian35 tang51
 lin35 jin51
 lin51 goo11
 loo33 lai51 ba11
 loo51 suh3
 loo55 li55 a51
 ma33 la55 li55 a51
 ma33 la55 song51
 ma33 sa51 tsi11
 mai51 ku11
 me33 li55 a51
 me33 long51
 me51 si11
 mi33 sin51
 mi55 sooh3
 moo51 ta11
 nai35 long51
 ne33 kut5 tai51
 ne51 tsiang11
 noo35 sin51
 noo55 lih3
 oo33 ba55 sang51
 oo33 ji55 sang51
 oo33 lian51
 oo33 lin55 gioo51
 oo33 ne51 sang11
 oo33 too55 bai51
 oo51 ba11
 pha33 tsin51 koo11
 pha35 sian51 too11
 phang51
 phang51 ku11
 phi33 a55 nooh3
 phian51 tsih3
 phin35 phong51
 phong51 phu11
 phu33 loo55 phe55 la51
 pu33 lu51 su11
 sa33 kha55 li55 bah3
 sa33 khu55 lah3
 sa33 si55 mih3
 sa35 bi51 su11
 sai51 su11
 sak5 khuh3
 sam35 phu55 luh3
 san51 bah3
 se33 bi55 looh3
 se51 hu11
 si33 a55 geh3
 sia33 sin51
 siat5 tooh3
 siat5 tsuh3
 siok3 phang51
 sip1 pan55 na51
 sir33 be55 li55 lai51
 sir33 ten55 le51 su11
 soo51 su11
 su33 khu51 ta11
 su33 lit5 pah3
 su33 to55 lip5 puh3
 su55 sih3
 tha33 khu55 ang51
 tha33 khu55 sih3
 tha33 tha55 mih3
 thai51 ia11
 thai51 lu11
 thak5 khooh3
 than51 goo11
 thang51 su11
 that5 bi51
 the33 ni55 suh3
 thian35 pu55 lah3
 thoo33 la55 khuh3
 thoo33 ma55 tooh3
 too51 sang11
 tshian35 pa55 lah3
 tsiok5 kih3
 tsioo33 koo55 le51 too11
 tsit5 puh3
 u33 long51
 ua33 kha55 moo55 tooh3
 ua33 lu51 tsuh3
 ua33 sa55 bih3
 uai35 siat5 tsuh3
 un51 tsiang11
 其他
Ting 丁
Káu 九
Tiau 刁
Poh 卜
Kiû 仇
Siû 仇
Guân 元
Khóng 孔
Iû 尤
Ún 尹
Pa 巴
Ko 戈
Hōo 戶
Bûn 文
Png 方
Môo 毛
Tsuí 水
Gû 牛
Ông 王
Khu 丘
Pau 包
Kóo 古
Sú 史
Iū 右
Su 司
Tsó 左
Gio̍k 玉
Kam 甘
Tiân 田
Sin 申
Pe̍h 白
Tsio̍h 石
Ngóo 伍
Ho̍k 伏
Khong 匡
Kiat 吉
An 安
Liân 年
Tshiânn 成
Tsu 朱
Kang 江
Tî 池
Bôo 牟
Bí 米
Iûnn 羊
Hô 何
Siâ 佘
Û 余
Tông 佟
Líng 冷
Ngôo 吳
Sòng 宋
Bû 巫
Lí 李
Tōo 杜
Pōo 步
Ong 汪
Sím 沈
Sua 沙
Ti̍k 狄
Kok 谷
Puè 貝
Sin 辛
Sîn 辰
Ńg 阮
Toh 卓
Tsiu 周
Bīng 孟
Kuì 季
Siōng 尚
Ga̍k 岳
Pâng 房
Ho̍k 服
Hâng 杭
Lîm 林
Kó 果
Bú 武
Hôo 狐
Tiok 竺
Hua 花
Hóo 虎
Khu 邱
Siō 邵
Kim 金
Hâu 侯
Lâm 南
Siânn 城
Iâu 姚
Khiong 姜
Suan 宣
Huān 宦
Hong 封
Si 施
Tsa 查
Kua 柯
Liú 柳
Tuān 段
Âng 洪
Hông 皇
Kí 紀
Hông 紅
Ôo 胡
Biâu 苗
Hû 苻
Huān 范
Kè 計
Hong 風
Gê 倪
Lîng 凌
Guân 原
Tn̂g 唐
Hē 夏
Hê 奚
Ki 姬
Sun 孫
Tián 展
Tshî 徐
Tiâu 晁
Tsìn 晉
Àn 晏
Tshâ 柴
Kuì 桂
Song 桑
Un 殷
Hái 海
Thôo 涂
Oo 烏
Tsiok 祝
Tsîn 秦
Ang 翁
Kíng 耿
Sûn 荀
Uân 袁
Hok 郝
Má 馬
Ko 高
Oo 區
Siong 商
Kok 國
Lôo 婁
Khòo 寇
Tôo 屠
Tshui 崔
Siông 常
Khng 康
Tiunn 張
Tshik 戚
Hōo 扈
Tsô 曹
Niû 梁
Muî 梅
Pit 畢
Sīng 盛
Tsiunn 章
Hû 符
Tsng 莊
Bo̍h 莫
Khóo 許
Hông 逢
Liân 連
Kueh 郭
Tân 陳
Tô 陶
Lio̍k 陸
Hî 魚
Lo̍k 鹿
Be̍h 麥
Pòo 傅
Kiâu 喬
Tì 智
Tsan 曾
Iû 游
Thng 湯
Ta 焦
Thiânn 程
Tâng 童
Huà 華
Huì 費
Hō 賀
Koo 辜
Bín 閔
Iûnn 陽
Hāng 項
Pâng 馮
N̂g 黃
Iûnn 楊
Tshóo 楚
Un 溫
Bān 萬
Ia̍p 葉
Kat 葛
Táng 董
Gû 虞
Tsiam 詹
Lōo 路
Tsau 鄒
Oo 鄔
Luî 雷
Kìn 靳
Liāu 廖
Hîm 熊
Tsin 甄
Ti̍k 翟
Bûn 聞
Tsong 臧
Puê 裴
Thú 褚
Tiō 趙
Lâu 劉
Lē 厲
Ga̍k 樂
Huân 樊
Lâu 樓
Au 歐
Phuann 潘
Liān 練
Tshuà 蔡
Tsiúnn 蔣
Uē 衛
Tīng 鄧
Lóo 魯
Lê 黎
Ian 燕
Lôo 盧
Bo̍k 穆
Siau 蕭
Luā 賴
Tî 遲
Tsînn 錢
Giâm 閻
Hok 霍
Lo̍h 駱
Pāu 鮑
Lîng 龍
Ga̍k 嶽
Ing 應
Tè 戴
Po̍k 薄
Sih 薛
Tsiā 謝
Tsing 鍾
Hân 韓
Khû 瞿
Kán 簡
Lia̍p 聶
Nâ 藍
Hong 豐
Khuat 闕
Gân 顏
Guī 魏
Lô 羅
Thâm 譚
Kuan 關
Pâng 龐
Giâm 嚴
Tōo 竇
Līn 藺
Soo 蘇
Sik 釋
Tsing 鐘
Hong 酆
Thih 鐵
Kòo 顧
Kíng 龔
