音讀 詞目
ga̍k 岳
tia̍t 帙
tshiú 帚
iân 延
hiân 弦
hôo 弧
pí 彼
hut 彿
tsing 征
hut 忽
hún 忿
phà 怕
pòo 怖
î 怡
khiap 怯
hi̍k 或
lē 戾
bú 拇
thok 拓
khu 拘
tsuat 拙
î 於
gông 昂
khun 昆
sing 昇
hō 昊
tshiong 昌
ī 易
sik 昔
pîng 朋
hâng 杭
kia̍t 杰
thú 杵
pê 杷
óng 枉
sik 析
tsím 枕
him 欣
kî 歧
ta̍p 沓
huì 沸
hóng 況
siat 泄
po̍k 泊
phik 泊
pì 泌
hông 泓
huàn 泛
huān 泛
khip 泣
nî 泥
iong 泱
íng 泳
bo̍k 牧
a̍p 狎
hôo 狐
muî 玫
tik 的
ti̍k 的
môo 盲
píng 秉
kiong 穹
tiok 竺
kiong 羌
ngâu 肴
ngōo 臥
sià 舍
tsi 芝
khiàm 芡
hun 芬
pa 芭
tsí 芷
hu 虎
sat 虱
huán 返
tí 邸
tshái 采
tsóo 阻
oo 阿
tôo 陀
hū 附
liāng 亮
liōng 亮
bú 侮
hē 係
tsùn 俊
tshiàu 俏
lī 俐
hu 俘
lí 俚
kiap 俠
mōo 冒
tsik 則
kìng 勁
kīng 勁
pu̍t 勃
bián 勉
puān 叛
tsí 咫
lo̍k 咯
ian 咽
hah 哈
hîng 型
káu 垢
uân 垣
kan 姦
in 姻
tshit 姼
tsu 姿
ui 威
ua 娃
suan 宣
iū 宥
huān 宦
ok 屋
suì 帥
suè 帥
iu 幽
to̍k 度
kiàn 建
gān 彥
giān 彥
tsuánn 怎
nōo 怒
sù 思
sún 恂
hîng 恆
khue 恢
kuat 括
tsín 拯
kióng 拱
phing 拼
si̍p 拾
thiáu 挑
kì 既
māi 昧
tsa 昨
tso̍h 昨
tsiau 昭
io̍k 昱
koo 枯
kóo 枸
bóo 某
kiū 柩
kán 柬
kho 柯
liú 柳
tshik 柵
iong 殃
lo̍k 洛
hiān 炫
píng 炳
káu 狡
lîng 玲
po 玻
suan 珊
sīm 甚
bàng 甭
hông 皇
îng 盈
phàn 盼
tún 盾
kih 砌
khám 砍
kî 祈
tsí 祉
ú 禹
tu̍t 突
kuann 竿
kí 紀
tiū 紂
iâ 耶
puè 背
phàng 胖
kah 胛
pau 胞
sam 舢
uán 苑
lîng 苓
biâu 苗
kho 苛
pau 苞
kóo 苟
ing 英
tang 苳
bōo 茂
huān 范
ka 茄
ba̍k 茉
bua̍h 茉
iau 要
iàu 要
hù 訃
tsing 貞
kuí 軌
khia 迦
ti̍k 迪
tia̍t 迭
su̍t 述
hiok 郁
kau 郊
lang 郎
siû 酋
lōo 陋
bi̍k 陌
uî 韋
kú 韭
siú 首
sîng 乘
sīng 乘
hú 俯
khū 俱
pâi 俳
hōng 俸
lióng 倆
hīng 倖
hāu 候
tshiong 倡
tshiòng 倡
kuān 倦
lûn 倫
e 倭
bîng 冥
tiau 凋
lîng 凌
phóo 剖
kong 剛
khing 卿
guân 原
tiat 哲
so 唆
sō 唆
ai 埃
lua̍h 埒
phing 娉
gû 娛
ngôo 娛
ná 娜
kuan 娟
ngôo 娥
bián 娩
tsáinn 宰
iàn 宴
siau 宵
kia̍h 屐
sap 屑
hong 峰
tsùn 峻
kiap 峽
tshai 差
tshî 徐
kìng 徑
khióng 恐
sù 恕
ua̍t 悅
ia̍t 悅
puē 悖
ngōo 悟
ná 拿
tshò 挫
tshiok 捉
liap 捏
kuan 捐
póo 捕
pông 旁
tsìn 晉
sok 朔
tshng 栓
kàu 校
kóng 栱
kia̍t 桀
kuì 桂
uî 桅
sûn 殉
sû 殊
ióng 氧
thài 泰
tsiat 浙
phóo 浦
hō 浩
lōng 浪
sia̍p 涉
lo̍k 烙
ti̍k 特
lî 狸
puē 狽
puè 珮
liû 琉
puān 畔
pùn 畚
pūn 畚
bóo 畝
phî 疲
kam 疳
thán 疸
tsín 疹
tsi̍k 疾
tsi̍t 疾
phàu 砲
iū 祐
pì 祕
tsà 祚
pì 秘
pîng 秤
tsîn 秦
tia̍t 秩
te 秪
tsu̍t 秫
tsik 窄
iáu 窈
pa 笆
bûn 紋
liú 紐
hun 紛
ko 羔
tshì 翅
kî 耆
king 耕
ûn 耘
ian 胭
î 胰
kong 胱
tsi 脂
hia̍p 脅
pán 舨
hâng 航
ka 茭
kha 茭
ho̍k 茯
tsu 茱
in 茵
sûn 荀
hīng 荇
king 荊
tsiàn 荐
nāi 荔
khiân 虔
bûn 蚊
pāng 蚌
kún 蚓
kang 蚣
tsáu 蚤
la̍p 衲
thiong 衷
sìn 訊
hùn 訓
khí 豈
kòng 貢
kiong 躬
huê 迴
kūn 郡
tsiok 酌
ting 釘
pè 陛
siám 陝
sing 陞
kau 高
uí 偉
kai 偕
tshik 側
tsing 偵
ngóo 偶
guī 偽
hông 凰
kham 勘
khàm 勘
li̍k 匿
sim 參
som 參
siū 售
uî 唯
siong 商
khé 啟
pi 啡
lûn 圇
khuan 圈
pōo 埠
tsip 執
puê 培
tshia 奢
tshiong 娼
uán 婉
piáu 婊
pī 婢
siù 宿
tsi̍k 寂
tôo 屠
tsông 崇
tshui 崔
