giah8	VD;VC
giah8-ke5	
giah8乩	VA
giah8倒手	Na
giah8刀	VA
giah8尾蟲	
giah8懸	VH
giah8手	VA
giah8狂	VH
giah8目	Dh
giah8筆	VA
giah8頭	VA
giah8高	VC
giah刺	
giah痕	Na
giah破	
giam2	VK
gian3	VK;VH
gian3逝逝	
gian3頭	Na
giang	VH
giang仔	Na
giap8命	VH
giat-lau2	VA;VC
giau2	VC
giau5-gi5	VK
gih	VC
gih-tah	Na
gim3龜雞	Na
gim5	Nc;Nf
gim5墘	Na
gim5簷	Na
gim5簷	Na
gim7	VC
gin-giang	Na
gin2仔	Nh;Na
gin2仔tioh	VH
gin2仔人	Na
gin2仔仃	b
gin2仔伴	
gin2仔兄	Na
gin2仔兵	
gin2仔囝	Na
gin2仔嬰	Na
gin2仔尿	
gin2仔崽	Na
gin2仔工	Na
gin2仔式	VH
gin2仔性	VH
gin2仔戲	
gin2仔時	Na;Nd
gin2仔桃	Na
gin2仔樣	VH
gin2仔歌	Na
gin2仔氣	VH
gin2仔氣	VH
gin2仔物	Na
gin2仔猴	Na
gin2仔王	
gin2仔疕	Na
gin2仔相	VH
gin2仔科	Nc
gin2仔精	Na;VH
gin2仔耍	Na
gin2仔聲	
gin2仔胚	Na
gin2仔衣	Na
gin2仔衫	Na
gin2仔豚	Na
gin2仔面	Na
gin2仔頭	
gin2仔鬼	Na
gin2仔齒	Na
gin2仔齣	
gin5	VA;VC;Dh;b
gin5一下	
gin5目	VA
gin7	VK;VJ
gin7-siau5	VK
gin7人	VH
gin7神	Na;VK;VJ
gio2	VC
gio2一下	
gio5	b
gio5-e5	
gio5仔街	
giong7	Dd;Da
giu2	VC;b
giu2人客	VA
giu2生理	VA
giu2票	VB
giu2起來	VR
giu2近	VC
giu2鈴仔	VA;Na
giu2長	VR
goa7	Ne
ha	VC
ha5	Na;VC;Nf
haN2	VC
haN2-hong5	VA;VC
haN3--na3	
haN3--nou3	
haN5	VH
haN7	VA;VC
hah	VC;VH
hahN	VC
hai	Dh
haiN	VA;VE
haiN3	VA;VC;b
hak	VC
ham	Ca;P3
ham-ham	VH
ham2	
ham3	VH
ham3-ham3	VH
ham3-phuh8	Na;VH
ham3其夸	VH
ham3古	Na
ham3大	VR;VC
ham3想	VE
ham3斗籠	Nf
