根khip8	P4
根tu2	Db
根原	Na;on
根因	VK
根基	Na
根底	Dd;Na;on
根性	Na
根據	P4
根據	P4
根據地	Na
根本	Db;Na
根本的	
根治	VC
根深柢固	VH
根源	Na
根節	VH
根絕	VC
根蒂	Na;on
根部	Na
根鋸	Na
根除	VC
根頭	Na
根鬚	Na
格	Na;Nf
格	Na;Nf
格仔	Na
格仔紙	Na
格仔魚	
格位	Na
格大	
格大路	VA
格局	Na
格式	Na
格悾	
格新	
格樣	VA;VH
格空	
格籃	
格腳	VH
格調	Na
格體	VA;VH
格高	VH
格鬥	VA
栽	VA;Na;VC;b
栽仔	Na
栽培	VC
栽培人	VA
栽植	VC
栽樹	VA
栽樹仔	VA
栽活	
栽種	VC
栽贓	VC
桀	VA
桁	Na;b
桂	b
桂冠	Na
桂林	Nc
桂枝	
桂竹	
桂花	Na
桃	b
桃仔	Na
桃仔仁	Na
桃仔園	Nc
桃仔子	
桃仔核	
桃仔樹	Na
桃仔苒	b
桃仔鋟	
桃仔面	Na
桃仔鬃	
桃園市	Nc
桃園縣	Nc
桃子鹽	Na
桃旁	b
桃李	Na
桃枝	
桃源	Nc
桃竹	Na
桃紅色	
桃色新聞	Na
桃花	Na
桃花性	VH
桃花痟	
桃花運	Na
桃花面	
桄榔	
桄榔子	
桅	Na
桅	Na
框	Na;VC
框框	Na
框殼	Na;s
框球	Na
框邊	VB
案	b
案件	Na
案內	VC
案卷	Na
案底	Na
案情	Na
案桌	
案桌	Na
案由	Na
案發	VA
桌	Na;Nf
桌kham3	Na
桌仔	Na;b
桌仔屜	Na
桌勘	
桌屜	Na
桌巾	Na
桌布	Na
桌帷	
桌杆	
桌椅	Na
桌櫃	
桌球	Na
桌球賽	
桌罩	
桌罩	Na
桌腳	Na;Nf
桌裙	
桌面	Nc
桌面頂	
桌頂	
桌頂曆日	
桌頭	
桌頭曆日	
桌頭燈	Na
桌頭磅	
桌頭鏡屏	
桌頭鐘	Na
桌	
桐	b
桐	b
桐子樹	Na
桐杖	
桐樹	Na
桐油	Na
桐油	Na
桐油	Na
桐油樹	
桐油樹子	
桐油灰	Na
桑仔樹	Na
桑子	Na
桑材	Na
桑梓	Na
桑莓	Na
桑葉	Na
桑葚	Na
桑鳲	
桓	Na
桔	
桔仔	Na
桔仔汁	Na
桔梗	b
桔餅	
桲	
桶khia7	
桶仔竹	
桶杯	
桶柑	
桶笚	
桶鉤藤	
桶靴	
桶龜	Na
桷	b
桷仔	Na
桷枝	Na
桸仔	
桿菌	Na
梁	Na;Nb
梁上君子	
梁柱	Na
梅	Na
梅	Na
梅	Na
梅仔	Na
梅仔	Na
梅仔干	
梅仔干	Na
梅仔干	Na
梅仔樹	Na
梅仔花	Na
梅仔茶	Na
梅仔餅	
梅山	Nc
梅毒	Na
梅毒	Na
梅瘡	Na
梅花	Na
梅花	Na
梅花	Na
梅花鹿	Na
梅雨	Na
梓官	Na
梓樹	
梔子花	
條	Nf
條	VC;Nf;Nb
條不而直	VH
條仔	Na;Nf
條件	Na
條例	Na
條文	Na
條條有理	
條款	Na
條段	Na
條消	
條理	Na
條目	Na
條直	VC;Nf;Dh;VH
條直人	Na
條約	Na
條紋	Na
條絲	Na
條絲煙	Na
條絲熏	Na
條規	Na
條鋸	
梟反	
梟疑	VK
梢	VC;b
梢	VC;b
梢殺	VA
梢皮	VA;VC
梧桐	Na
梧桐	Na
梧棲	Nc
梧母	
梨	Na
梨仔	Na
梨仔瓜	Na
梨仔膏	
梨仔花	Na
梨山	Nc
梫木	
梭	Na;b
梭羅樹	
梭齒	
梯	Na;b
梯層	Na
梯次	Na
械鬥	VA
梳	VC
梳妝	VA;VB
梳頭鬃	
梵帝崗	
梵谷	Nb
棄	VC
棄sak	VC
棄嫌	VJ
棄嬰	Na
棄官	VA
棄官	VA
棄廢	VC
棄權	VA
棄絕	VC
棉	Na
棉chioh	Na
棉chioh被	Na
棉仔	
棉仔叢	Na
棉仔枝	
棉仔欉	Na
棉仔紙	Na
棉大khut8	Na
棉尾	
棉屎	Na
棉布	Na
棉猴衫	
棉糖	
棉紗	Na
棉紗線	Na
棉紡	Na
棉績被	Na
棉績裘	Na
棉纖維	Na
棉胎	Na
棉花	Na
棉花種	
棉苞	
棉蚼蠅	
棉衫	Na
棉袍	Na
棉被	Na
棉裘	Na
棉裘lam	Na
棉裘公	Na
棉襖	Na
棉質	A
棋	Na
棋子	Na
棋盤	Na
棍	Nf
棍仔	Na
棍桶	VH
棒	VH
棒壇	Na
棒棒糖	Na
棒球	Na
棒球員	Na
棒球賽	Na
棒球隊	Na
棓飯	
棕	Na;b
棕木	
棕樹	Na
棕竹	
棕筅	
棕簑	Na
棕色	Na
棕蓑搭	
棕蓑貓	
棖凊笑	VA
棖力	
棖力	VA
棖屎	
棖恬恬	VA
棖戇	VA
棖死	VA
棖濕濕	
棖生	VA
棖痟	
棖睏	VA
棖碇屎	
棖碇屎	
棖笑面	VA
棖虔笑	VA
棗	b
棗仔	Na
棚	b
棚	b
棚仔	Na
棚架	Na
棚腳	
棟梁	Na
棟梁之才	
棟樑	Na
棧	Nc;b
棧房	Nc
棧看	VA
棧道	Na
棧間	Nc;Na
森嚴	VH
森林	Na
森林	Na
棲身	VA
棺木	Na
棺柴	
棺柴店	
棺柴本	Na
棺柴窟	Na
棺柴釘	
棺柴鳥	
棺窟	Na
椅	Na
椅	Nb
椅chu7	Na
椅kham3	Na
椅仔	Na
椅仔腳	
椅墊	Na
椅墊仔	Na
椅幔	Na
椅桌	Na
椅條	Na
椅條	Na
椅條料	Na
椅樹	
椅眥仔	Na
椅簟仔	Na
椅腳	
椅褥	Na
椅轎	
椅轎	Na
椅頭	Na
椅頭仔	Na
椆底	VH
椆枝	
椆胎	VH
椆花	VH
椆莓	
椆著	VR;VH
植物	Na
植物人	Na
植物園	Nc
椎	b
椎	b
椎魯	b
椏	Na
椏虹	
椒	b
椪柑	
椰	Na
椰仔	Na
椰子	Na
椰子樹	Na
椰林	Na
椴梅	Nc
椵腳	
椽筆	
楊桃	Na
楊桃	Na
楊梅	Nc
楊梅桃	Na
楊梅症	Na
楊梅瘡	Na
楊金花	
楊麻	Na
楓	Na
楓仔樹	Na
楓樹	Na
楓港	Nc
楓香	
楓香樹	Na
楔後手	VB
楔空	VC;VB
楔紅包	
楚	Nc;Nb
楚霸王	
楝仔	
楠	b
楠仔	
楠仔枋	
楠梓	Nc
楣	b
楣角	Na
楦動	VH
楦大	VC;VH
楦膿	VH
楦闊	VC
楦頭	
業	b;VH
業主	Na
業債	Na
業務	Na
業務員	Na
業務部	Nc
業命	VH
業已	Dd
業產	Na
業界	Nc
業相	VH
業神	VH
業經	P2
業績	Na
業者	Na
業餘	A
楮樹	
極	Df
極不極	
極佳	VH
極倒	VH
極其	Df
極刑	Na
極力	Da
極加	Db;A;Da;VH
極品	Na
極地	Nc
極坎	VH
極多	
極好	Db;VH
極富	VH
極少	Da;VJ;VH
極度	Df
極微細	VH
極樂	
極權	Na
極步	VH
極濟	
極為	Df
極盡	Da;VJ
極空	VH
極端	VH
極致	Na
極角	VH;Df
極門	Nc;VH
極限	Na
極頂	Df
極頭	VH
楷	b
楷書	Na
楷木	
楷模	Na
楹	b
楹仔	Na
楹仔	Na
概	VC
概念	Na
概括	VJ
概況	Na
概算	Na;VE
概紃	VA
概要	Na
概論	Na
榕	b
榕奶	Na
榕奶帶	Na
榕奶樹	
榕樹	Na
榕樹	Na
榕樹王	
榕樹鬚	
榕鬚	
榕鬚	
榛	b
榛樹	
榜	Na
榜尾	
榜樣	Na
榜首	Na
榜首	Na
榨菜	Na
榫	Na;b
榫	b
榫卯	
榫孔	Na
榫目	Na
榫空	Na
榫頭	Na
榭榴	Na
榮任	VG
榮光	Na;VH
榮威	VH
榮寵	Na
榮工處	Nc
榮幸	Na;VH
榮影	VH
榮景	VH
榮枯	Na
榮歸	VC
榮民	Na
榮民總醫院	Nc
榮民醫院	
榮獲	VJ
榮登	VC
榮總	Nc
榮耀	Na
榮膺	VJ
榮譽	Na
榮譽	Na
榮譽博士	
榮譽學位	
榮銜	Na
榮顯	VH
榴	b
榴彈	Na
槊	b
槊仔	Na
槊土	b
槊煤	b
構圖	Na
構思	VA
構想	VE
構成	VJ
構謀	VC
構造	Na
槌	Na;VC;VH
槌仔	Na
槌仔面	
槌哥	Na
槌摃鐵	VC;VH
槌杖	Na
槌槌	Na
槌球	Na
槍	Na;Nf
槍兵	Na
槍戰	Na
槍手	Na
槍柄	Na
槍炮	Na
槓	b
槓仔	Na
槳	Na
槽	Na;Nf
槽前	
槽架	
樂公	VA
樂器	Na
樂園	Na
樂團	Nc
樂土	
樂壇	Nc
樂天	VH
樂師	Na
樂府	Na
樂意	VL
樂手	Na
樂捐	VD
樂暢	VA;VH
樂暢人	Na
樂曲	Na
樂業	VH
樂燒酒	VH
樂理	Na
樂章	Na
樂群	VH
樂聲	Na
樂觀	VH
樂譜	Na
樂趣	Na
樂隊	Na
樂音	Na
樑	Na
樑kong5	Na
樓	Na;Nf
樓井	
樓仔	Na
樓仔厝	Na
樓仔大厝	
樓尾厝	Nc;Na
樓尾頂	
樓屑仔	Na
樓枋	Na
樓栱	
樓栱楹	
樓梯	Na
樓梯層	
樓梯間	
樓腳	
樓腳厝	
樓車	Na
樓閣	Na
樓面	Na
樓頂	
標	VC
標	VC
標	VC
標仔	Na
標價	Na
標價	Na
標出	VR
標售	VC
標售	VC
標單	Na
標單	Na
標工	VC
標幟	Na
標幟	Na
標明	VC
標明	VC
標會仔	VA
標會仔	VC
標本	Na
標本	Na
標準	Na
標準	Na
標準桿	Na
標準桿	Na
標的物	Na
標的物	Na
標示	VC
標示	VC
標竿	Na
標竿	Na
標籤	Na
標籤	Na
標緻	VH
標緻	VH
標舉	VC
標舉	VC
標著	VH
標記	Na
標記	Na
標誌	Na
標誌	Na
標語	Na
標語	Na
標識	Na
標識	Na
標購	VC
標購	VC
標頭	Na
標頭	Na
標題	Na
標題	Na
標高	Na
標高	Na
標點	Na
標點	Na
標齒	Na
樞	b
樞機	A
樞紐	Na
樟	Na
樟仔樹	Na
樟樹	Na
樟牛	
樟腦	Na
樟腦	Na
樟腦丸	Na
樟腦油	Na
樟舅	
樠	Na
樠樹	
模	Na;Nf;b
模仿	VC
模仿	VC
模具	Na
模型	Na
模式	Na
模擬	VC
模板	Na
模樣	Na
模特兒	Na
模範	Na
模範生	Na
模糊	VH
模組	Na
樣	Na;Nf
樣品	Na
樣式	Na
樣本	Na
樣相	Na
樵夫	Na
樵子	Na
樸實	VH
樸實	VH
樸素	VH
樸風	
樹	Na
樹乳	Na
樹乳	Na
樹仔	Na
樹奶	Na
樹奶	Na
樹奶仔	
樹奶弓	Na
樹奶擦	Na;VC
樹奶糖	Na
樹奶糖	Na
樹奶頭	
樹子	Na
樹尾	Nc
樹尾溜	Nc
樹尾頂	Nc
樹影	Na
樹木	Na
樹杞	
樹林	Na
樹枝	Na
樹根	Na
樹栽	Na
樹梅	Nc
樹梅雨	Na
樹梅餅	
樹梳	Na
樹椏	Na
樹欉	Na
樹母	
樹油	Na
樹王公	Na
樹皮	Na
樹目	
樹箍	Na
樹絡	Na
樹脂	Na
樹脂	Na
樹腳	
樹腹	Na
樹膠	Na
樹草蓮	
樹菊	
樹葉	Na
樹蔭	Na
樹薯	Na
樹蘭	Na
樹蘭花	
樹蜚	
樹豆	
樹身	Na
樹錦	Na
樹青	
樹頭	
樹魚	
樹龍	
樹龜	Na
橄仔	
橄仔	Na
橄仔球	Na
橄欖	Na
橄欖孫	Na
橄欖形	Na
橄欖樹	
橈棓	
橋	Na
橋尖	Na
橋樑	Na
橋空	Na
橋腳	
橋過拐抽	VA
橐	Na;Nf;b
橐	VR
橐仔	Na
橐仔店	Nc
橐袋仔	Na
橐蹌	VA;VH
橐錢	VC;VB
橙桐	
橙欄	
橙色	Na
機	b
機	b
機不可失	VH
機件	Na
機先	Na
機具	Na
機具	Na
機動	A
機動性	Na
機司	Na
機員	Na
機器	Na
機器人	Na
機器桶	
機器犁	
機型	Na
機場	Nc
機密	Na
機工	Na
機巧	Na;VH
機帆	Na
機庫	Nc
機房	Nc
機會	Na
機桿仔	Na
機械	Na
機械化	VH
機械式	A
機構	Na
機油	Na
機率	Na
機票	Na
機種	Na
機竅	VH
機組	Na
機緣	Na
機群	Na
機翼	Na
機能	Na
機艙	Nc
機要	A
機警	VH
機身	Na
機車	Na
機遇	Na
機運	Na
機銃	Na
機長	Na
機關	Na
機關車	Na
機關銃	Na
機電	A
機體	Na
橡奶	Na
橡奶	Na
橡奶土	
橡奶帶	Na
橡奶性	Na
橡奶糖	Na
橡奶鞋	
橡奶鞋	Na
橡木	Na
橫	VA;A;Nf;VH
橫向	Dh
橫寫	VC
橫山	Nc
橫崚	
橫惡	VH
橫扁	Na
橫扒扒	VH
橫批	
橫披	Na;VC
橫杆	
橫橫翱	
橫權	
橫洋	VA;Nc;Na
橫流	Na
橫渡	VA;Na
橫澈澈	VH
橫玄	
橫直	Db;Na;VC;Dk;VJ
橫眉khia7目	
橫眩	
橫線	
橫翱	
橫肉生	
橫肉面	Na
橫肩	
橫蠻	VH
橫行	VA
橫訕直訕	VB
橫變變	VH
橫財	Na
橫越	VC
橫逆	VB
橫逆	VH
橫逼逼	Na
橫過	VC
橫閘	Na
橫霸	
橫霸霸	VH
橫騎	
檀仔	
檀柴	Na
檀香	Na
檀香	Na
檄	Ne;VE
檄	VC
檄仙	Na
檄場	Nc;Na
檄本	Na
檄東	Na
檄棍	Na
檄注	Na
檄間	Nc
檉柳	
檐	b
檔	Na;Nf
檔期	Nd
檔案	Na
檜木	Na
檢	b
檢修	VC
檢妝	Na
檢定	VC
檢察	A
檢屍	VA
檢查	VE
檢測	VE
檢溫	
檢疫	VA
檢肅	VC
檢舉	VC
檢視	VC
檢討	VC
檢討會	Na
檢閱	VC
檢驗	VC
檢點	VH
檨	Na
檨仔	Na
檨仔瘋	Na
檨梔柴	Na
檯面	Nc
檳榔	Na
檳榔芋	
檸檬	Na
檸檬	Na
檺樹	
櫃	b
櫃屜	Na
櫃檯	Na
櫃櫥	Na
櫛篦	
櫛篦鬍	
櫥	b
櫥仔	Na
櫥屜	Na
櫥窗	Na
櫥紐	Na
櫥頭櫃	
櫳	b
櫳仔	Na
櫳仔底	b
櫳仔車	Na
櫻桃	Na
櫻花	Na
櫼仔	Na
櫼入	VR
欄	Nf
欄杆	Na
欄頭	VH
權	Na
權位	Na
權利	Na
權利金	Na
權力	Na
權勢	Na
權威	Na
權威性	Na
權宜	A
權宜之計	Na
權益	Na
權衡	VC
權貴	Na
權限	Na
欒樹	
欖	b
欖仁樹	
欖仁舅	
欠	VD;VJ
欠一腳	
欠一跪	VI
欠主	Na
欠人姦	
欠你管	
欠債	VH
欠光彩	VH
欠勤	VH
欠安	VH
欠席	VH
欠推	
欠揲	
欠據	Na
欠數	Na
欠檢點	VH
欠款	Na
欠水	
欠用	
欠用	Na;VK;VJ
欠神	VH
欠稅	VH
欠繳	VH
欠缺	VD;Na;VK;VJ;VH
欠缺	VJ
欠缺	VJ
欠腳債	
欠血	VH
欠血	VH
欠錢	
欠陰	Na
欠雨	
欠點	Na
次	Ne;Nf
次女	Na
次子	Na
次年	Nd
次序	Na
次序	VH
次日	Nd
次男	Na
次第	Na
次等	A
次級	A
次要	A
次路貨	
次長	Na
欣喜	VH
欣慕	VJ
欣慕	VJ
欣欣	Dh
欣欣向榮	VH
欣然	Dh
欣羡	VJ
欣羨	VJ
欣羨	VJ
欣賞	VJ
欱	VC
欲暗仔	Nd
欲望	Na
欲求	Na
欲罷不能	VH
欲蓋彌彰	VH
欶欶甜	Dh
欶蜜甕	
欹身	VH
欺侮	VC
欺凌	VC
欺君	
欺壓	VC
欺瞞	VC
欺矇	VC
欺詐	
欺負	VC
欺騙	VD;VC
欽佩	VJ
欽慕	VJ
欽賜	VD
款	Na
款	Na
款	Na;Nf
款	Na;VC
款	Na;VC
款	Na;VH
款	Nf
款制	Na
款勢	Na
款勸	VF;VB
款式	Na
款式	Na;VC
款待	Na;VC
款待	VC
款拾	VC
款曲	Na
款樣	Na
款目	Na
款相	Na
款行李	VA
款項	Na
款額	Na
歁嗽	VA
歁囝	Na
歁笑	VA
歇	VA;VF
歇sian7	VA
歇冬	VA
歇喘	VA;Na
歇天路	VC
歇天露	VC
歇學	VA
歇客店	
歇客棧	
歇寒	Nd
歇岫	
歇工	VA;VH
歇店	VC
歇影	VA
歇息	VA
歇悿	VA
歇擔	VA
歇晝	VH
歇暗	VA;VC
歇暝	Dd;VA
歇會	VH
歇業	VA
歇涼	VA
歇熱	Nd
歇熱	Nd
歇熱時	Nd
歇睏	VA
歇睏	VA;VH
歇睏日	Nd
歇腳	VA;VC
歇蔭	VA
歇身	VA
歇陣	A
歇雨	VA
歇雨	VA
歉意	Na
歉疚	VH
歌	Na
歌仔	Na
歌仔戲	Na
歌仔曲	
歌劇	Na
歌劇	Na
歌劇院	Nc
歌劇院	Nc
歌喉	Na
歌壇	Nc
歌廳	Nc
歌手	Na
歌星	Na
歌曲	Na
歌王	Na
歌聲	Na
歌舞	Na
歌詞	Na
歌詩	Na
歌謠	Na
歌譜	Na
歌頌	VC
歎	VC
歐亞	Nc
歐式	A
歐打	
歐洲	Nc
歐洲人	Na
歐羅肥	VH
歐美	Nc
歐美先進國家	Na
歐陸	Nc
歐陽	Nb
歕hoa	
歕品仔	
歕氣	VA
歕狗螺	VA
歕笛仔	
歕觱仔	
歕雞kui	VA;VE
歕風	VA
歙	b
歛	VH
歡呼	VE
歡唱	VC
歡喜	VK;VJ;VH
歡喜來	VL
歡喜甲	VH
歡喜面	VH
歡度	VJ
歡心	Na
歡樂	VH
歡樂氣氛	Na
歡欣	VH
歡笑	VA
歡聚	VC
歡迎	VC
歡送	VC
歡送	VC
歡頭喜面	VA;VH
止	VF;St;VH
止iau	VB
止tiau5	VR
止嘴乾	VH
止嘴凋	VH
止境	Na
止尼薯	
止水	Na
止渴	VH
止渴	VH
止痛	VB
止痛藥	Na
止血	VH
止飢	VB
正	Dd;Ne;Nc;Ng;VH
正	Dd;Ne;VH
正le	Dd
正leh	Dd
正ti7--leh	P1;VH
正中	
正中央	
正中晝	Nd
正佇le	P1;VH
正倒手	VC;Ng
正倒腳	VC;Ng
正值	Na
正則	Na
正反	Na
正名	Na
正名	VA
正地土	Na;VH
正大	Nd
正字	Na
正宗	Na
正實	
正實	VH
正寫	Na
正常	VH
正常化	VH
正式	VH
正彎	
正德	Nd
正心	VA
正忌	
正手	Na
正手旁	Nc;Na
正手爿	
正手頂面	Nc
正扮	A
正拋	
正文	Na
正斡	
正方形	Na
正方形	Na
正旁	Nc
正是	V_
正月	Nd
正月初一	Nd
正月半	Nd
正本	Na
正本清源	VA
正板	Db;Na;A;VH
正枝	Na
正楷	
正榕	Na
正正	Da
正正是	VK
正殿	Nc
正母	Na
正比	Na
正毛pat8仔	
正氣	Na
正派	VH
正港	Na;VH
正港貨	
正父	Na
正爿	Nc;Na
正牌	VH
正珠	Na
正當	P1;VH
正痘	Na
正盤	A
正直	VH
正確	VH
正確性	Na
正祧	
正筆	Na
正範	VH
正紅	Na
正紫檀	
正統	A;Nd
正經	VH
正經e5	Db
正經代	Na
正經路	Na
正義	Na
正義感	Na
正耳	
正脈	A
正腳	Na
正花	
正著時	
正號	Na
正衝	
正視	VC
正親像	P5
正貨	
正路	Na;VH
正身	Na
正轉	
正途	Na
正途	Na
正道	Na
正金	Na
正銀	
正門	Nc
正面	Na
正音	Na
正頓	
正頭烏	Na
正體	
正鯧	Na
正齒	Na
此外	Cb
此後	Dd
步	Na;Nf
步伐	Na
步位	Nc
步兵	Na
步口	
步履	Na
步山虎	Na
步平	Dd;VH
步數	Na
步步	
步步為營	VH
步盤	Na
步行	VA
步行	VA
步調	Na
步輦	VA;VH
步道	Na
步銃	Na
步隊	
步驟	
武	Nb
武俠	A
武力	Na
武功	Na
武器	Na
武士	Na
武夷茶	Na
武官	Na
武打	A
武斷	VH
武旁	Na
武昌	Nc
武林	Nc
武棋	Na
武漢	Nc
武生	Na
武綑	
武腯	
武腯	VH
武腳	Na
武藝	Na
武術	Na
武裝	VC
武陵	Nc
武靴藤	
武齣	Na
武齣戲	
歧異	VH
歧見	Na
歧視	VJ
歧視	VJ
歧路	Na
歪	VC;VH
歪chhoah8	Na;VH
歪一phoe	
歪一爿	
歪仔索	
歪勻	VA
歪哥	VC;VH
歪哥chhih-choah8	VH
歪哥chhih8-chhoa	VH
歪嘴	VA;VH
歪尾桃	Na
歪心	VI
歪斜	Na;VC;VJ;VH
歪曲	VC
歪歪跩跩	VH
歪篙	VA;VC
歪篙案	
歪篙錢	
歪路	Na
歪頭	
歪頭菜	
歪頷	
歪風	Na;VH
歲	Nf
歲入	Na
歲入	Na
歲出	Na
歲出	Na
歲壽	Na
歲壽	Na
歲月	Na
歲聲	Na
歲聲	Na;Nf;b
歲計	Na
歲頭	Na
歷代	Dd
歷任	Nd
歷來	Nd
歷史	Na
歷史學	
歷史家	
歷史性	Na
歷史系	Nc
歷屆	Nd
歷年	Nd
歷年來	Dd
歷時	VJ
歷歷	Dh
歷盡	VJ
歷經	VJ
歷練	VC
歷險	VA
歸	VJ
歸ti7	VK
歸世人	Na
歸人	Na
歸仁	Nc
歸仙	VH
歸依	VJ
歸信天	VH
歸個	
歸倚	VJ
歸入	VJ
歸功	VI
歸化	VJ
歸半工	Na;Nd
歸半日	Nd
歸半晡	Na;Nd
歸咎	VI
歸因於	VJ
歸國	VA
歸天	Na
歸家人	
歸家口	
歸宿	Na
歸尾	Dd;Na;Dk;Nd
歸屬ti7	VJ
歸屬感	
歸工	Dd
歸年	Dd;VH
歸心	Dh;VH
歸手	Nf;Dh;VH
歸手捧	
歸批	
歸數	Na
歸日	Dd
歸日鏡	Na
歸暗	Dd
歸暝	Dd
歸月日	
歸柩	VB
歸案	VH
歸正	VB
歸氣	Db;VH
歸水	
歸盤	Da
歸碗捧	VC;VJ
歸空	VH
歸納	VC
歸綰	Df;VH
歸群	
歸腹火	
歸色	Da
歸莊	
歸著	VH
歸路	
歸身	Nc;Na
歸身軀	Nc;Na
歸逝	
歸還	VD
歸鄉	VA
歸陣	
歸隊	VA
歸順	VJ
歸類	VJ
歹	b
歹	b;VH
歹chheng3-chheng3	Dh;VH
歹chhoa7	
歹chhoa7頭	
歹chhoe7	VC
歹khia7	Nc
歹人	Na
歹代	Na
歹做	Na;VH
歹做陣	VA
歹價	
歹兆	Na
歹兆頭	Na
歹冬	Nd
歹出嘴	VA;VH
歹分子	
歹剃頭	VH
歹勢	VJ;b;VH
歹勢kah	
歹勢用	
歹勢講	VA
歹勢面	Na;VH
歹厄	Na
歹去	
歹叢	
歹吉兆	Na
歹名	Na;VH
歹名聲	VH
歹味	
歹味	
歹命	VH
歹命相	
歹品行	
歹嘴	
歹嘴斗	VH
歹嘴鼻	
歹囝	Na;VH
歹囝人	
歹囝病	
歹囝病	Na
歹囝症	Na
歹囝路	Nc
歹囝間	Nc
歹囡仔	
歹夢	Na
歹大家	
歹天	
歹天年	Nd
歹天時	Na
歹失德	VH
歹媌	
歹字運	VH
歹客	Na
歹家教	
歹局	Na;Nf;VH
歹市	
歹年冬	Na
歹底	Na
歹底蒂	Na
歹彩頭	Na
歹後進	
歹心	Na;VH
歹心毒行	VH
歹心肝	Na
歹心腸	Na
歹心行	Na;VH
歹性地	Na
歹意	Dh
歹意思	VI
歹意神	Na;VI;VH
歹慣勢	Na
歹戲	
歹所行	
歹手勢	
歹手爪	
歹手癖	
歹手蹄	
歹扭捋	VH
歹按算	
歹推chhiau5	
歹撙節	
歹撚	VH
歹收成	VH
歹教示	
歹數	Na
歹料	Na;VH
歹日	
歹日子	
歹星	Na;Nb
歹時運	VH
歹景氣	VH
歹月	Nd
歹服侍	
歹查某	
歹模樣	
歹模範	
歹款	
歹款	VH
歹款待	
歹死	VH
歹氣	Na;VH
歹流擺	Na
歹物	Na
歹物仔	Na
歹物件	
歹狗	Na;VH
歹狗人	Na
歹狗仔	Na
歹狗氣	
歹球	Na;s
歹理捋	VH
歹用	
歹病	Na
歹症	Na
歹症頭	Na
歹瘡	Na
歹癖	Na;b
歹癖片	
歹癖片	
歹目	Na
歹目相	VH
歹目識	VH
歹相	VH
歹看	VH
歹看相	VH
歹看面	VH
歹睏	
歹神氣	VH
歹種	Na
歹積德	VA;VH
歹空	Na;VH
歹節力	
歹粒	
歹紙	Na
歹紡	VH
歹習慣	Na
歹聲嗽	VB;Dh;VH
歹聲說	
歹聲頭	
歹聽	VH
歹肚桶	
歹肚腸	
歹育	
歹育飼	
歹脾氣	
歹腳	Na
歹腳	Na;Nf
歹腹肚	VA
歹草	Na
歹落台	VR;VA;VH
歹處	Na
歹蟲	Na
歹行	
歹規矩	Na
歹記持	Na;VH
歹話	Na
歹講	VR;VK
歹譜	Na;VC
歹貨	Na
歹賺食	VH
歹趁	
歹趁食	
歹路	
歹路頭	VA
歹身命	VH
歹辦	VH
歹運	Na;VH
歹運氣	VH
歹運途	VH
歹過	VK
歹銅舊錫	
歹錢	Na
歹鐵仔	Na
歹開嘴	VA
歹雕	VC
歹面chhiuN	VH
歹面孔	
歹面腔	
歹頭彩	Na
歹食	VH
歹食相	
歹飼	
歹馬	Na
歹骨底	Na
歹骨胚	
歹骨頭	
歹鬥陣	VA
歹鬼	Na
歹鬼怪	Na
歹鬼鬼	VH
歹鳥	Na
死	VH
死bai2	VH
死gian7-gian7	
死hou7人	
死so5	VH
死丁丁	VH
死主	VH
死了了	
死亡	VH
死亡率	Na
死人	
死人形	Na
死人款	Na
死人直	VH
死人錢	Na
死人面	Na;VH
死傷	
死內逃生	VA
死其值	
死冤	Na
死出去	VA
死刑	Na
死刑犯	Na
死前	Dd
死力	Na
死去	VH;VR
死嘍	
死嘴	VA;VH
死因	Na
死囡仔	Na
死地	Nc;Na
死子	
死寒	
死對頭	Na
死屍	Na
死彎	VA
死心	VI
死忠	VH
死忤戛	Na;VH
死性	VH
死懨懨	
死扳仔	
死斡	VA
死會	Na
死期	Na
死板	VH
死某	VH
死桀	Na
死樹	Na
死欉	
死死	VH
死死六工尺	
死水	Na;VH
死泉	Na
死泉	Na;Nb
死活	Na
死灰復燃	VH
死炭	
死煞	
死犯	Na
死狗賴羊	
死症	Na
死痠	VH
死白	VH
死目	VH
死直	VH
死直直	Dh
死眼	VH
死窟	Na
死窟水	Na
死結	Na
死絕	VR;Df
死絕冷	VH
死絕步	
死罪	Na
死者	Na
死肉	
死腸爛肚	
死血	
死角	Nc
死訣	VH
死諍	VA;VE
死貓	
死賴	VA
死賴互人	Na;VH
死賴人	VA
死路	Na
死蹺蹺	
死身胚	Na
死釘釘	VH
死釦	VH
死難	VH
死骨	Na
死體	Na
死鬼仔	Na
殉教	VH
殉職	VH
殉難	VH
殊榮	Na
殕殕	
殖民	VA
殖民地	Nc
殘	Na;VC;VH
殘	b
殘	b
殘存	VJ
殘害	VC
殘廢	VH
殘心	VH
殘心	VH
殘忍	VH
殘暴	VH
殘殘	Dh
殘殺	VC
殘渣	Na
殘留	VJ
殘酷	VH
殘障	VH
殭屍	Na
殮具	
殮布	Na
殮葬	
殯儀館	Nc
殯車	Na
段	Nf;Nb
段落	Na
殷切	VH
殷勤	VH
殷戶	
殷鑑	Na
殷鑑不遠	VH
殺	VC
殺人	
殺人犯	Na
殺人罪	Na
殺傷力	Na
殺害	VC
殺心	VK;VH
殺戮	VC
殺手	Na
殺手	Na
殺掉	VR
殺機	Na
殺殺	Dh
殺生	VA
殺膽	VH
殺菌	VA
殺身	VH
殼	Na
殼	Na
殼仔	b
殼仔灰	
殼仔絃	
殼灰	Na
殼菜	
殼菜頭	
殿下	Na
