AID	role	content	number	songtablet	action	book
157	末	因世收拾起身	2.133	NULL	NULL	荔鏡記--嘉靖
158	NULL	拜辭爹媽便起身	2.134	NULL	並下	荔鏡記--嘉靖
159	NULL	山高路遠雁魚沈	2.135	NULL	NULL	荔鏡記--嘉靖
160	NULL	萬兩黃金未為貴	2.136	NULL	NULL	荔鏡記--嘉靖
161	NULL	一家安樂值千金	2.137	NULL	NULL	荔鏡記--嘉靖
162	NULL	花園遊賞	3	NULL	第三出	荔鏡記--嘉靖
163	旦	巧韻鶯聲	3.001	粉蝶兒	NULL	荔鏡記--嘉靖
164	NULL	驚醒枕邊春夢	3.002	NULL	NULL	荔鏡記--嘉靖
165	NULL	起來晏	3.003	NULL	NULL	荔鏡記--嘉靖
166	NULL	日上西窗	3.004	NULL	NULL	荔鏡記--嘉靖
167	占	見窗外	3.005	NULL	NULL	荔鏡記--嘉靖
168	NULL	尾蝶雙飛相趕	3.006	NULL	NULL	荔鏡記--嘉靖
169	NULL	日頭長	3.007	NULL	NULL	荔鏡記--嘉靖
170	NULL	春花發得通看	3.008	NULL	NULL	荔鏡記--嘉靖
171	占	啞娘萬福	3.009	NULL	占白	荔鏡記--嘉靖
172	旦	幾陣鶯聲微微輕	3.01	NULL	NULL	荔鏡記--嘉靖
173	NULL	雙雙紫燕叫黃鶯	3.011	NULL	NULL	荔鏡記--嘉靖
174	NULL	困人天氣未成熱	3.012	NULL	NULL	荔鏡記--嘉靖
175	NULL	力只寒衣脫幾重	3.013	NULL	NULL	荔鏡記--嘉靖
176	占	三十六春日晴明	3.014	NULL	NULL	荔鏡記--嘉靖
177	NULL	諸般鳥雀弄巧聲	3.015	NULL	NULL	荔鏡記--嘉靖
178	NULL	宅院深沉人什靜	3.016	NULL	NULL	荔鏡記--嘉靖
179	NULL	懶倚繡床無心情	3.017	NULL	NULL	荔鏡記--嘉靖
180	旦	念阮是黃九郎諸娘仔	3.018	NULL	NULL	荔鏡記--嘉靖
181	NULL	名叫五娘	3.019	NULL	NULL	荔鏡記--嘉靖
182	NULL	挑花刺繡	3.02	NULL	NULL	荔鏡記--嘉靖
183	NULL	琴棋書畫	3.021	NULL	NULL	荔鏡記--嘉靖
184	NULL	諸般都曉	3.022	NULL	NULL	荔鏡記--嘉靖
185	NULL	爹爹並無男嗣	3.023	NULL	NULL	荔鏡記--嘉靖
186	NULL	單身養阮一身	3.024	NULL	NULL	荔鏡記--嘉靖
187	NULL	來啞	3.025	NULL	NULL	荔鏡記--嘉靖
188	NULL	益春	3.026	NULL	NULL	荔鏡記--嘉靖
189	NULL	今旦正是新春節氣	3.027	NULL	NULL	荔鏡記--嘉靖
190	NULL	不免相共	3.028	NULL	NULL	荔鏡記--嘉靖
191	NULL	行到花園內賞花	3.029	NULL	NULL	荔鏡記--嘉靖
192	占	好花不去賞，也可惜除	3.03	NULL	NULL	荔鏡記--嘉靖
193	NULL	入花園簡相隨	3.031	錦田道	旦唱	荔鏡記--嘉靖
194	NULL	滿園花開蕊	3.032	NULL	NULL	荔鏡記--嘉靖
195	NULL	紅白綠間翠	3.033	NULL	NULL	荔鏡記--嘉靖
196	NULL	雙飛燕尾蝶	3.034	NULL	NULL	荔鏡記--嘉靖
197	NULL	成雙成對	3.035	NULL	NULL	荔鏡記--嘉靖
198	NULL	對只景櫒人心憔悴	3.036	NULL	NULL	荔鏡記--嘉靖
199	占	娘身是牡丹花正開	3.037	NULL	NULL	荔鏡記--嘉靖
200	NULL	生長在深閨	3.038	NULL	NULL	荔鏡記--嘉靖
201	NULL	好時節空虛費	3.039	NULL	NULL	荔鏡記--嘉靖
202	NULL	怨殺窗外啼子規	3.04	NULL	NULL	荔鏡記--嘉靖
203	NULL	枝上鶯聲沸	3.041	NULL	NULL	荔鏡記--嘉靖
204	NULL	一點春心	3.042	NULL	NULL	荔鏡記--嘉靖
205	NULL	今來交付乞誰	3.043	NULL	NULL	荔鏡記--嘉靖
206	旦	整日坐繡房	3.044	撲燈娥	NULL	荔鏡記--嘉靖
207	NULL	閑行出紗窗	3.045	NULL	NULL	荔鏡記--嘉靖
208	NULL	牡丹花正開	3.046	NULL	NULL	荔鏡記--嘉靖
209	NULL	尾蝶同飛來相弄	3.047	NULL	NULL	荔鏡記--嘉靖
210	NULL	上下翩翻	3.048	NULL	NULL	荔鏡記--嘉靖
211	NULL	阮春心著伊惹動	3.049	NULL	NULL	荔鏡記--嘉靖
212	占	拆一枝	3.05	NULL	NULL	荔鏡記--嘉靖
213	NULL	挽一枝	3.051	NULL	NULL	荔鏡記--嘉靖
214	NULL	插入金瓶	3.052	NULL	NULL	荔鏡記--嘉靖
215	旦	畏引惹黃蜂尾蝶	3.053	NULL	NULL	荔鏡記--嘉靖
216	NULL	尋香入繡房	3.054	NULL	NULL	荔鏡記--嘉靖
217	NULL	牡丹花開玉欄干	3.055	NULL	余文	荔鏡記--嘉靖
218	NULL	管乜尾蝶共黃蜂	3.056	NULL	NULL	荔鏡記--嘉靖
219	NULL	須得凰鳳來穿花叢	3.057	NULL	NULL	荔鏡記--嘉靖
220	NULL	滿園花開綠間紅	3.058	NULL	NULL	荔鏡記--嘉靖
221	NULL	花開花謝不胡忙	3.059	NULL	NULL	荔鏡記--嘉靖
222	NULL	一年那有春天好	3.06	NULL	NULL	荔鏡記--嘉靖
223	NULL	不去得桃總是空	3.061	NULL	NULL	荔鏡記--嘉靖
224	NULL	運使登途	4	NULL	第四出	荔鏡記--嘉靖
225	末	有福樣人人伏事	4.001	NULL	NULL	荔鏡記--嘉靖
226	NULL	無福樣人伏事人	4.002	NULL	NULL	荔鏡記--嘉靖
227	NULL	小人不是別人	4.003	NULL	NULL	荔鏡記--嘉靖
228	NULL	便是陳大人手下	4.004	NULL	NULL	荔鏡記--嘉靖
229	NULL	大人今旦前去廣南赴任	4.005	NULL	NULL	荔鏡記--嘉靖
230	NULL	說都未了	4.006	NULL	NULL	荔鏡記--嘉靖
231	NULL	大人來到	4.007	NULL	NULL	荔鏡記--嘉靖
232	NULL	東風微微	4.008	八聲甘州	外生占上	荔鏡記--嘉靖
233	NULL	正是新春景致	4.009	NULL	NULL	荔鏡記--嘉靖
234	NULL	憶著：在厝好酒	4.01	NULL	NULL	荔鏡記--嘉靖
235	NULL	慶賀新年	4.011	NULL	NULL	荔鏡記--嘉靖
236	NULL	雙親堂上老年紀	4.012	NULL	NULL	荔鏡記--嘉靖
237	NULL	功名牽絆覓除伊	4.013	NULL	NULL	荔鏡記--嘉靖
238	合	心悲	4.014	NULL	NULL	荔鏡記--嘉靖
239	NULL	值日得返鄉里	4.015	NULL	NULL	荔鏡記--嘉靖
240	又	富貴是無比	4.016	NULL	NULL	荔鏡記--嘉靖
241	NULL	五花頭踏	4.017	NULL	NULL	荔鏡記--嘉靖
242	NULL	馬前噪人耳	4.018	NULL	NULL	荔鏡記--嘉靖
243	NULL	白馬金鞍	4.019	NULL	NULL	荔鏡記--嘉靖
244	NULL	等接官員都佃	4.02	NULL	NULL	荔鏡記--嘉靖
245	NULL	金印銀簇	4.021	NULL	NULL	荔鏡記--嘉靖
246	NULL	帶金牌	4.022	NULL	NULL	荔鏡記--嘉靖
247	NULL	算來讀書強別事	4.023	NULL	NULL	荔鏡記--嘉靖
248	合	金榜掛名	4.024	NULL	NULL	荔鏡記--嘉靖
249	NULL	天下人都知	4.025	NULL	NULL	荔鏡記--嘉靖
250	NULL	看日落在天邊	4.026	NULL	尾聲	荔鏡記--嘉靖
251	NULL	打緊驛內去安置	4.027	NULL	NULL	荔鏡記--嘉靖
252	NULL	憶著家鄉在千里	4.028	NULL	NULL	荔鏡記--嘉靖
253	NULL	RRRR	4.029	NULL	NULL	荔鏡記--嘉靖
254	NULL	走馬上任路八千	4.03	NULL	NULL	荔鏡記--嘉靖
255	NULL	光景無邊景物鮮	4.031	NULL	NULL	荔鏡記--嘉靖
256	NULL	遇飲酒處須飲酒	4.032	NULL	NULL	荔鏡記--嘉靖
257	NULL	得高歌處且樂然	4.033	NULL	NULL	荔鏡記--嘉靖
258	NULL	邀朋賞燈	5	NULL	第五出	荔鏡記--嘉靖
259	淨	今冥RR元宵	5.001	賞宮花	NULL	荔鏡記--嘉靖
260	NULL	滿街人吵鬧	5.002	NULL	NULL	荔鏡記--嘉靖
261	NULL	門前火照火	5.003	NULL	NULL	荔鏡記--嘉靖
262	NULL	結綵樓	5.004	NULL	NULL	荔鏡記--嘉靖
263	NULL	人人成雙都成對	5.005	NULL	NULL	荔鏡記--嘉靖
264	NULL	虧我無ㄙ共誰愁	5.006	NULL	NULL	荔鏡記--嘉靖
265	NULL	潮州林郎有名聲	5.007	NULL	NULL	荔鏡記--嘉靖
266	NULL	廣東福建敢出名	5.008	NULL	NULL	荔鏡記--嘉靖
267	NULL	不欠錢銀不欠食	5.009	NULL	NULL	荔鏡記--嘉靖
268	NULL	另欠一ㄙ不十成	5.01	NULL	NULL	荔鏡記--嘉靖
269	NULL	小子永豐倉林大爹便是	5.011	NULL	NULL	荔鏡記--嘉靖
270	NULL	阮母無分曉	5.012	NULL	NULL	荔鏡記--嘉靖
271	NULL	生我一鼻障大	5.013	NULL	NULL	荔鏡記--嘉靖
272	NULL	許識物个	5.014	NULL	NULL	荔鏡記--嘉靖
273	NULL	盡稱呼做大官	5.015	NULL	NULL	荔鏡記--嘉靖
274	NULL	許不識物个	5.016	NULL	NULL	荔鏡記--嘉靖
275	NULL	呼我做大鼻	5.017	NULL	NULL	荔鏡記--嘉靖
276	NULL	莫說我田園廣闊	5.018	NULL	NULL	荔鏡記--嘉靖
277	NULL	銀錢無賽	5.019	NULL	NULL	荔鏡記--嘉靖
278	NULL	那是婚頭遲	5.02	NULL	NULL	荔鏡記--嘉靖
279	NULL	未有一ㄙ通伴眠	5.021	NULL	NULL	荔鏡記--嘉靖
280	NULL	乞人說笑	5.022	NULL	NULL	荔鏡記--嘉靖
281	NULL	叫做無尾牛	5.023	NULL	NULL	荔鏡記--嘉靖
282	NULL	今冥正是元宵	5.024	NULL	NULL	荔鏡記--嘉靖
283	NULL	我心內愛上街體燈	5.025	NULL	NULL	荔鏡記--嘉靖
284	NULL	無人伴行	5.026	NULL	NULL	荔鏡記--嘉靖
285	NULL	我不免唱一無ㄙ歌	5.027	NULL	NULL	荔鏡記--嘉靖
286	NULL	解悶消遣	5.028	NULL	NULL	荔鏡記--嘉靖
287	NULL	行來去尋老卓	5.029	NULL	NULL	荔鏡記--嘉靖
288	NULL	拙年無ㄙ守孤單	5.03	四邊靜	NULL	荔鏡記--嘉靖
289	NULL	青R冷R無人相伴	5.031	NULL	NULL	荔鏡記--嘉靖
290	NULL	日來獨自食	5.032	NULL	NULL	荔鏡記--嘉靖
291	NULL	冥來獨自宿	5.033	NULL	NULL	荔鏡記--嘉靖
292	NULL	行盡暗[日+賛]路	5.034	NULL	NULL	荔鏡記--嘉靖
293	NULL	踏盡狗屎乾	5.035	NULL	NULL	荔鏡記--嘉靖
294	NULL	盤盡人後牆	5.036	NULL	NULL	荔鏡記--嘉靖
295	NULL	屎肚都蹊破	5.037	NULL	NULL	荔鏡記--嘉靖
296	NULL	乞人力一著	5.038	NULL	NULL	荔鏡記--嘉靖
297	NULL	鬃仔去一半	5.039	NULL	NULL	荔鏡記--嘉靖
298	NULL	丈夫人無ㄙ	5.04	NULL	NULL	荔鏡記--嘉靖
299	NULL	親像衣裳討無帶	5.041	NULL	NULL	荔鏡記--嘉靖
300	NULL	諸娘人無婿	5.042	NULL	NULL	荔鏡記--嘉靖
301	NULL	恰是船無舵	5.043	NULL	NULL	荔鏡記--嘉靖
302	NULL	拙東又拙西	5.044	NULL	NULL	荔鏡記--嘉靖
303	NULL	拙了無依倚	5.045	NULL	NULL	荔鏡記--嘉靖
304	NULL	人說	5.046	NULL	NULL	荔鏡記--嘉靖
305	NULL	一ㄙ強十被	5.047	NULL	NULL	荔鏡記--嘉靖
306	NULL	十被甲也寒	5.048	NULL	NULL	荔鏡記--嘉靖
307	NULL	只正是老卓門兜	5.049	NULL	NULL	荔鏡記--嘉靖
308	NULL	不免叫一聲	5.05	NULL	NULL	荔鏡記--嘉靖
309	NULL	誰人在許內	5.051	mv	NULL	荔鏡記--嘉靖
310	NULL	共恁啞爹呾	5.052	NULL	NULL	荔鏡記--嘉靖
311	NULL	說是	5.053	NULL	NULL	荔鏡記--嘉靖
312	NULL	西街林大爹在只	5.054	mv	NULL	荔鏡記--嘉靖
313	NULL	請伊得桃	5.055	NULL	NULL	荔鏡記--嘉靖
314	NULL	誰叫一聲	5.056	賞宮花	內應 末上	荔鏡記--嘉靖
315	NULL	應世出外廳	5.057	NULL	NULL	荔鏡記--嘉靖
316	NULL	不知是乜人	5.058	NULL	NULL	荔鏡記--嘉靖
317	NULL	元來是林大兄	5.059	NULL	NULL	荔鏡記--嘉靖
318	淨	我今請你無別事	5.06	NULL	NULL	荔鏡記--嘉靖
319	NULL	那因無ㄙ費心情	5.061	NULL	NULL	荔鏡記--嘉靖
320	末	林兄	5.062	NULL	NULL	荔鏡記--嘉靖
321	NULL	錢到ㄙ便	5.063	NULL	NULL	荔鏡記--嘉靖
322	淨	誰人ㄙ卜租人	5.064	NULL	NULL	荔鏡記--嘉靖
323	末	和尚ㄙ，卜租人	5.065	NULL	NULL	荔鏡記--嘉靖
324	NULL	林兄請坐	5.066	NULL	笑介末白	荔鏡記--嘉靖
325	淨	免坐	5.067	NULL	NULL	荔鏡記--嘉靖
326	末	未知林兄貴幹	5.068	NULL	NULL	荔鏡記--嘉靖
327	淨	卜請你幹事	5.069	NULL	NULL	荔鏡記--嘉靖
328	末	幹乜事	5.07	NULL	NULL	荔鏡記--嘉靖
329	淨	今冥正是元宵	5.071	NULL	NULL	荔鏡記--嘉靖
330	NULL	直來招兄你看燈	5.072	NULL	NULL	荔鏡記--嘉靖
331	NULL	因便体群姐得桃	5.073	NULL	NULL	荔鏡記--嘉靖
332	末	小弟今無心看燈	5.074	NULL	NULL	荔鏡記--嘉靖
333	NULL	林兄你愛惹事	5.075	NULL	NULL	荔鏡記--嘉靖
334	淨	老卓	5.076	NULL	NULL	荔鏡記--嘉靖
335	NULL	你不見俗人說	5.077	NULL	NULL	荔鏡記--嘉靖
336	末	俗人可做侢說	5.078	NULL	NULL	荔鏡記--嘉靖
337	淨	世上若無花共酒	5.079	NULL	NULL	荔鏡記--嘉靖
338	NULL	任你千歲待如何	5.08	NULL	NULL	荔鏡記--嘉靖
339	NULL	小弟今不惹事	5.081	NULL	笑介	荔鏡記--嘉靖
340	NULL	相共來去無妨	5.082	NULL	NULL	荔鏡記--嘉靖
341	末	待小弟叫簡仔討檳榔食	5.083	NULL	NULL	荔鏡記--嘉靖
342	淨	向說	5.084	NULL	NULL	荔鏡記--嘉靖
343	NULL	多承	5.085	NULL	NULL	荔鏡記--嘉靖
344	末	值簡仔在許內，討檳榔食	5.086	x	NULL	荔鏡記--嘉靖
345	NULL	有乜好客在外廳	5.087	mv	占上	荔鏡記--嘉靖
346	NULL	手捧檳榔出外行	5.088	NULL	NULL	荔鏡記--嘉靖
347	淨	老卓	5.089	NULL	見介淨白	荔鏡記--嘉靖
348	NULL	你值時討一个媳婦拙爽利	5.09	NULL	NULL	荔鏡記--嘉靖
349	末	林兄如魯	5.091	NULL	NULL	荔鏡記--嘉靖
350	NULL	只是我飼个	5.092	NULL	NULL	荔鏡記--嘉靖
351	末	踝林大爺一踝	5.093	NULL	占介末白	荔鏡記--嘉靖
352	淨	名叫乜	5.094	NULL	NULL	荔鏡記--嘉靖
