序號	詞語	等別	級別	情境	書面字頻(每百萬字)	口語字頻(每百萬字)	簡編本系統號	參考注音	參考漢語拼音
4061	貧窮/貧	進階	第5級	14.社會	40	111	[['貧窮', ['3230']], ['貧', ['3219']]]	ㄆㄧㄣˊ ㄑㄩㄥˊ/ㄆㄧㄣˊ	pín qióng/pín
4062	拼圖	進階	第5級	4.休閒、娛樂	6	10	[['拼圖', ['3212']]]	ㄆㄧㄣ ㄊㄨˊ	pīn tú
4063	品味	進階	第5級	4.休閒、娛樂	18	9	[['品味', ['3274']]]	ㄆㄧㄣˇ ㄨㄟˋ	pǐn wèi
4064	品種	進階	第5級	10.餐飲、烹飪	14	75	[['品種', ['3270']]]	ㄆㄧㄣˇ ㄓㄨㄥˇ	pǐn zhǒng
4065	坪	進階	第5級	2.日常起居	11	17	[['坪', ['3367']]]	ㄆㄧㄥˊ	píng
4066	憑	進階	第5級	核心詞	55	18	[['憑', ['3403']]]	ㄆㄧㄥˊ	píng
4067	平凡	進階	第5級	核心詞	20	19	[['平凡', ['3292']]]	ㄆㄧㄥˊ ㄈㄢˊ	píng fán
4068	評估	進階	第5級	核心詞	74	33	[['評估', ['3380']]]	ㄆㄧㄥˊ ㄍㄨ	píng gū
4069	平衡	進階	第5級	7.身體、醫療	76	62	[['平衡', ['3317']]]	ㄆㄧㄥˊ ㄏㄥˊ	píng héng
4070	平價	進階	第5級	9.購物、商店	2	4	[['平價', ['3322']]]	ㄆㄧㄥˊ ㄐㄧㄚˋ	píng jià
4071	評價	進階	第5級	核心詞	34	9	[['評價', ['3381']]]	ㄆㄧㄥˊ ㄐㄧㄚˋ	píng jià
4072	評量	進階	第5級	8.教育、學習	20	4	[['評量', ['3378']]]	ㄆㄧㄥˊ ㄌㄧㄤˊ	píng liáng
4073	評論	進階	第5級	8.教育、學習	42	4	[['評論', ['3379']]]	ㄆㄧㄥˊ ㄌㄨㄣˋ	píng lùn
4074	評審	進階	第5級	3.職業	8	6	[['評審', ['3387']]]	ㄆㄧㄥˊ ㄕㄣˇ	píng shěn
4075	平原	進階	第5級	5.交通、旅遊	16	50	[['平原', ['3365']]]	ㄆㄧㄥˊ ㄩㄢˊ	píng yuán
4076	潑	進階	第5級	10.餐飲、烹飪	7	5	[['潑', ['2426']]]	ㄆㄛ	pō
4077	破產	進階	第5級	3.職業	12	10	[['破產', ['2494']]]	ㄆㄛˋ ㄔㄢˇ	pò chǎn
4078	婆家	進階	第5級	1.個人資料	3	3	[['婆家', ['2438']]]	ㄆㄛˊ ㄐㄧㄚ	pó jiā
4079	破舊	進階	第5級	2.日常起居	9	3	[['破舊', ['2487']]]	ㄆㄛˋ ㄐㄧㄡˋ	pò jiù
4080	破損	進階	第5級	7.身體、醫療	5	3	[['破損', ['2501']]]	ㄆㄛˋ ㄙㄨㄣˇ	pò sǔn
4081	瀑布	進階	第5級	13.自然環境	10	7	[['瀑布', ['3511']]]	ㄆㄨˋ ㄅㄨˋ	pù bù
4082	暴露	進階	第5級	12.安全	17	7	[['暴露', ['3509']]]	ㄆㄨˋ ㄌㄨˋ	pù lù
4083	棋	進階	第5級	4.休閒、娛樂	16	9	[['棋', ['21192', '24469']]]	ㄑㄧˊ	qí
4084	起初	進階	第5級	核心詞	26	5	[['起初', ['24596']]]	ㄑㄧˇ ㄔㄨ	qǐ chū
4085	其次	進階	第5級	核心詞	36	14	[['其次', ['24449']]]	ㄑㄧˊ ㄘˋ	qí cì
4086	起點	進階	第5級	5.交通、旅遊	15	15	[['起點', ['24577']]]	ㄑㄧˇ ㄉㄧㄢˇ	qǐ diǎn
4087	啟動	進階	第5級	核心詞	25	32	[['啟動', ['24627']]]	ㄑㄧˇ ㄉㄨㄥˋ	qǐ dòng
4088	欺負	進階	第5級	12.安全	16	14	[['欺負', ['24404']]]	ㄑㄧ ㄈㄨˋ	qī fù
4089	器官	進階	第5級	7.身體、醫療	25	16	[['器官', ['24771']]]	ㄑㄧˋ ㄍㄨㄢ	qì guān
4090	奇蹟	進階	第5級	核心詞	31	24	[['奇蹟', ['24507']]]	ㄑㄧˊ ㄐㄧ	qí jī
4091	器具	進階	第5級	2.日常起居	7	9	[['器具', ['24773']]]	ㄑㄧˋ ㄐㄩˋ	qì jù
4092	期刊	進階	第5級	8.教育、學習	19	7	[['期刊', ['24461']]]	ㄑㄧˊ ㄎㄢ	qí kān
4093	起碼	進階	第5級	核心詞	24	20	[['起碼', ['24573']]]	ㄑㄧˇ ㄇㄚˇ	qǐ mǎ
4094	奇妙	進階	第5級	16.情緒、態度	20	16	[['奇妙', ['24497']]]	ㄑㄧˊ ㄇㄧㄠˋ	qí miào
4095	欺騙	進階	第5級	12.安全	20	6	[['欺騙', ['24402']]]	ㄑㄧ ㄆㄧㄢˋ	qī piàn
4096	起身	進階	第5級	核心詞	38	4	[['起身', ['24601']]]	ㄑㄧˇ ㄕㄣ	qǐ shēn
4097	歧視	進階	第5級	14.社會	16	18	[['歧視', ['24436']]]	ㄑㄧˊ ㄕˋ	qí shì
4098	奇特	進階	第5級	16.情緒、態度	21	10	[['奇特', ['24500']]]	ㄑㄧˊ ㄊㄜˋ	qí tè
4099	氣味	進階	第5級	10.餐飲、烹飪	23	9	[['氣味', ['24722']]]	ㄑㄧˋ ㄨㄟˋ	qì wèi
4100	期限	進階	第5級	核心詞	13	10	[['期限', ['24465']]]	ㄑㄧˊ ㄒㄧㄢˋ	qí xiàn
4101	企業界	進階	第5級	3.職業	13	6	[]	ㄑㄧˋ ㄧㄝˋ ㄐㄧㄝˋ	qì yè jiè
4102	奇異	進階	第5級	16.情緒、態度	18	8	[['奇異', ['24517']]]	ㄑㄧˊ ㄧˋ	qí yì
4103	汽油	進階	第5級	11.公共服務	6	13	[['汽油', ['24664']]]	ㄑㄧˋ ㄧㄡˊ	qì yóu
4104	其餘	進階	第5級	核心詞	29	6	[['其餘', ['24450']]]	ㄑㄧˊ ㄩˊ	qí yú
4105	氣質	進階	第5級	1.個人資料	28	9	[['氣質', ['24709']]]	ㄑㄧˋ ㄓˊ	qì zhí
4106	恰當	進階	第5級	核心詞	21	4	[['恰當', ['24793']]]	ㄑㄧㄚˋ ㄉㄤˋ	qià dàng
4107	欠	進階	第5級	核心詞	18	15	[['欠', ['25293']]]	ㄑㄧㄢˋ	qiàn
4108	牽	進階	第5級	核心詞	32	28	[['牽', ['25088']]]	ㄑㄧㄢ	qiān
4109	前輩	進階	第5級	8.教育、學習	10	10	[['前輩', ['25161']]]	ㄑㄧㄢˊ ㄅㄟˋ	qián bèi
4110	錢財	進階	第5級	9.購物、商店	9	3	[['錢財', ['25268']]]	ㄑㄧㄢˊ ㄘㄞˊ	qián cái
4111	前後	進階	第5級	核心詞	47	16	[['前後', ['25180']]]	ㄑㄧㄢˊ ㄏㄡˋ	qián hòu
4112	潛力	進階	第5級	核心詞	20	18	[['潛力', ['25246']]]	ㄑㄧㄢˊ ㄌㄧˋ	qián lì
4113	前途	進階	第5級	核心詞	31	9	[['前途', ['25174']]]	ㄑㄧㄢˊ ㄊㄨˊ	qián tú
4114	前往	進階	第5級	5.交通、旅遊	91	58	[['前往', ['25223']]]	ㄑㄧㄢˊ ㄨㄤˇ	qián wǎng
4115	謙虛	進階	第5級	6.社交、人際	12	9	[['謙虛', ['25153']]]	ㄑㄧㄢ ㄒㄩ	qiān xū
4116	遷移	進階	第5級	核心詞	10	11	[['遷移', ['25146']]]	ㄑㄧㄢ ㄧˊ	qiān yí
4117	簽約	進階	第5級	3.職業	5	4	[['簽約', ['25134']]]	ㄑㄧㄢ ㄩㄝ	qiān yuē
4118	簽字	進階	第5級	14.社會	6	0	[['簽字', ['25132']]]	ㄑㄧㄢ ㄗˋ	qiān zì
4119	牆壁/牆	進階	第5級	2.日常起居	118	88	[['牆壁', ['25497']], ['牆', ['25496']]]	ㄑㄧㄤˊ ㄅㄧˋ/ㄑㄧㄤˊ	qiáng bì/qiáng
4120	強盜	進階	第5級	12.安全	13	2	[['強盜', ['25464']]]	ㄑㄧㄤˊ ㄉㄠˋ	qiáng dào
4121	強調	進階	第5級	核心詞	121	74	[['強調', ['25465']]]	ㄑㄧㄤˊ ㄉㄧㄠˋ	qiáng diào
4122	搶奪	進階	第5級	12.安全	5	3	[['搶奪', ['25524']]]	ㄑㄧㄤˇ ㄉㄨㄛˊ	qiǎng duó
4123	強化	進階	第5級	核心詞	44	13	[['強化', ['25476']]]	ㄑㄧㄤˊ ㄏㄨㄚˋ	qiáng huà
4124	強烈	進階	第5級	核心詞	103	59	[['強烈', ['25471']]]	ㄑㄧㄤˊ ㄌㄧㄝˋ	qiáng liè
4125	強迫	進階	第5級	核心詞	36	10	[['強迫', ['25505']]]	ㄑㄧㄤˇ ㄆㄛˋ	qiǎng pò
4126	強權	進階	第5級	14.社會	4	5	[['強權', ['25483']]]	ㄑㄧㄤˊ ㄑㄩㄢˊ	qiáng quán
4127	強人	進階	第5級	14.社會	4	4	[['強人', ['25487']]]	ㄑㄧㄤˊ ㄖㄣˊ	qiáng rén
4128	強壯	進階	第5級	7.身體、醫療	16	12	[['強壯', ['25484']]]	ㄑㄧㄤˊ ㄓㄨㄤˋ	qiáng zhuàng
4129	瞧	進階	第5級	核心詞	51	10	[['瞧', ['24901']]]	ㄑㄧㄠˊ	qiáo
4130	巧	進階	第5級	核心詞	23	93	[['巧', ['24909']]]	ㄑㄧㄠˇ	qiǎo
4131	巧妙	進階	第5級	16.情緒、態度	20	8	[['巧妙', ['24911']]]	ㄑㄧㄠˇ ㄇㄧㄠˋ	qiǎo miào
4132	悄悄/悄	進階	第5級	核心詞	40	8	[['悄悄', ['24926']], ['悄', ['24925']]]	ㄑㄧㄠˇ ㄑㄧㄠˇ/ㄑㄧㄠˇ	qiǎo qiǎo/qiǎo
4133	琴	進階	第5級	4.休閒、娛樂	33	24	[['琴', ['25391']]]	ㄑㄧㄣˊ	qín
4134	親	進階	第5級	1.個人資料	63	40	[['親', ['25345', '25834']]]	ㄑㄧㄣ	qīn
4135	親近	進階	第5級	6.社交、人際	31	25	[['親近', ['25356']]]	ㄑㄧㄣ ㄐㄧㄣˋ	qīn jìn
4136	親口	進階	第5級	核心詞	5	1	[['親口', ['25354']]]	ㄑㄧㄣ ㄎㄡˇ	qīn kǒu
4137	親情	進階	第5級	6.社交、人際	10	13	[['親情', ['25360']]]	ㄑㄧㄣ ㄑㄧㄥˊ	qīn qíng
4138	親熱	進階	第5級	核心詞	6	1	[['親熱', ['25374']]]	ㄑㄧㄣ ㄖㄜˋ	qīn rè
4139	親身	進階	第5級	核心詞	17	24	[['親身', ['25369']]]	ㄑㄧㄣ ㄕㄣ	qīn shēn
4140	親手	進階	第5級	核心詞	14	29	[['親手', ['25366']]]	ㄑㄧㄣ ㄕㄡˇ	qīn shǒu
4141	親眼	進階	第5級	核心詞	20	12	[['親眼', ['25383']]]	ㄑㄧㄣ ㄧㄢˇ	qīn yǎn
4142	親友	進階	第5級	1.個人資料	21	15	[['親友', ['25382']]]	ㄑㄧㄣ ㄧㄡˇ	qīn yǒu
4143	親自	進階	第5級	核心詞	79	46	[['親自', ['25378']]]	ㄑㄧㄣ ㄗˋ	qīn zì
4144	親子	進階	第5級	核心詞	31	26	[['親子', ['45310']]]	ㄑㄧㄣ ㄗˇ	qīn zǐ
4145	情報	進階	第5級	核心詞	28	16	[['情報', ['25743']]]	ㄑㄧㄥˊ ㄅㄠˋ	qíng bào
4146	清晨	進階	第5級	核心詞	27	30	[['清晨', ['25637']]]	ㄑㄧㄥ ㄔㄣˊ	qīng chén
4147	青春	進階	第5級	核心詞	27	15	[['青春', ['25569']]]	ㄑㄧㄥ ㄔㄨㄣ	qīng chūn
4148	清淡	進階	第5級	10.餐飲、烹飪	4	8	[['清淡', ['25595']]]	ㄑㄧㄥ ㄉㄢˋ	qīng dàn
4149	情感	進階	第5級	16.情緒、態度	76	37	[['情感', ['25757']]]	ㄑㄧㄥˊ ㄍㄢˇ	qíng gǎn
